Dateiname,Unbekannte_Wörter,Wortfragmente,Wortanzahl,Entscheidung,Unbekannte_Wörter_Anzahl,Wortfragmente_Anzahl,Dateigröße_Bytes
680926 — HCO Bulletin — TR 0 Note  [B070-015].txt,1.26%,0.25%,397,Geeignet,5,1,2230
820711 Issue 2 — HCO Bulletin — Questionable Auditing  [B064-024].txt,3.40%,0.00%,235,Geeignet,8,0,1328
690812 — HCO Bulletin — Dianetic Case Supervisor Actions  [B080-001].txt,3.52%,0.81%,369,Geeignet,13,3,2097
690711 — HCO Bulletin — Supervision  [B009-118].txt,3.92%,0.14%,739,Geeignet,29,1,4509
600318 — HCO Bulletin — Creating Things  [B036-057].txt,1.39%,2.90%,793,Geeignet,11,23,4391
580522 — HCO Bulletin — Enemies of the PC  [B022-047].txt,6.12%,2.04%,49,Ungeeignet,3,1,273
590921 — HCO Bulletin — Programming  [B035-130].txt,7.00%,1.00%,100,Ungeeignet,7,1,631
690125 — HCO Bulletin — Targets and Computers  [B062-003].txt,5.88%,0.00%,85,Ungeeignet,5,0,560
640823 — HCO Bulletin — HQS Course - This HCO Bulletin Changes Existing Checksheets  [B004-028].txt,2.34%,0.84%,598,Geeignet,14,5,3492
590727 — HCO Bulletin — HGC Processes - FC  [B035-086].txt,8.20%,2.46%,122,Ungeeignet,10,3,733
"590508 — HCO Bulletin — Undoable Command, An  [B023-075].txt",4.55%,1.52%,66,Geeignet,3,1,378
610331 — HCO Bulletin — SOP Goals Modified  [B037-020].txt,3.97%,0.00%,151,Geeignet,6,0,858
710330 Issue 3 — HCO Bulletin — Add to HCOB 8 Jan 71 - Auditing CS-1  [B011-036].txt,5.19%,1.30%,77,Ungeeignet,4,1,488
600119 — HCO Bulletin — Tapes for Sale  [B139-031].txt,6.33%,1.27%,79,Ungeeignet,5,1,482
711103 — HCO Bulletin — Auditor's Worksheets  [B047-002].txt,1.85%,0.37%,270,Geeignet,5,1,1532
590703 — HCO Bulletin — General Information  [B023-109].txt,4.54%,0.37%,5112,Geeignet,232,19,32053
5304XX — HCO Bulletin — Admiration Processing  [B017-015].txt,1.62%,0.23%,431,Geeignet,7,1,2641
730405 — HCO Bulletin — Axiom 28 Amended  [B013-008].txt,3.14%,0.00%,223,Geeignet,7,0,1595
720830 Issue 1R — HCO Bulletin — Expanded Dianetics Case Histories  [B050-025].txt,6.07%,0.00%,577,Ungeeignet,35,0,3590
700411 — HCO Bulletin — Auditing Past Exterior  [B076-013].txt,2.82%,0.00%,425,Geeignet,12,0,2504
590203 — HCO Bulletin — HGC Current Procedure  [B071-020].txt,8.48%,0.79%,507,Ungeeignet,43,4,3217
680826 Issue 2 — HCO Bulletin — Use of WSU S & D ''Personal Roller Coaster''  [B041-062].txt,3.58%,0.30%,670,Geeignet,24,2,4069
601110 — HCO Bulletin — Formula 13  [B024-221].txt,5.13%,1.79%,390,Ungeeignet,20,7,2346
640519 — HCO Bulletin — Class II Model Session  [B040-014].txt,7.79%,0.19%,1027,Ungeeignet,80,2,5873
700119 Issue 2 — HCO Bulletin — Study Data - Definition of Words Error  [B043-005].txt,4.13%,0.24%,412,Geeignet,17,1,2446
721022 — HCO Bulletin — Expanded Dianetic Case G  [B050-034].txt,6.73%,1.18%,1858,Ungeeignet,125,22,10408
721107 Issue 4 — HCO Bulletin — Dianetic Assessment Lists  [B012-185].txt,6.10%,0.61%,328,Ungeeignet,20,2,1853
710404 — HCO Bulletin — Use of Quad Dianetics  [B142-026].txt,2.80%,1.08%,928,Geeignet,26,10,4999
590805 — HCO Bulletin — Processing Gains by a Mentally Retarded Child  [B023-127].txt,1.56%,1.04%,192,Geeignet,3,2,1204
590926 — HCO Bulletin — Data on Clearing a Staff Member after Specific Terminals Are Flat with Overt-Withhold Straightwire  [B035-141].txt,3.65%,0.00%,192,Geeignet,7,0,1153
"581009 — HCO Bulletin — Correction of HCOPL of October 1, 1958  [B034-075].txt",3.28%,0.00%,61,Geeignet,2,0,424
620405 — HCO Bulletin — CCHs - Auditing Attitude  [B160-005].txt,3.30%,0.22%,1846,Geeignet,61,4,10303
650913 — HCO Bulletin — Out Tech and How to Get It In  [B005-031].txt,1.89%,0.14%,2168,Geeignet,41,3,11924
590306 — HCO Bulletin — Training Drills  [B023-046].txt,6.84%,0.57%,526,Ungeeignet,36,3,3007
710523 Issue 08 — HCO Bulletin — Recognition of Rightness of the Being  [B011-063].txt,6.13%,0.57%,1061,Ungeeignet,65,6,5986
790209 — HCO Bulletin — How to Defeat Verbal Tech  [B061-039].txt,4.00%,0.80%,125,Geeignet,5,1,750
590606 — HCO Bulletin — 'When cases crack well on selected persons overts withhold...'  [B035-056].txt,10.42%,2.08%,48,Ungeeignet,5,1,322
710105 — HCO Bulletin — Going Earlier in R3R and Exteriorization Intensives  [B044-003].txt,3.53%,0.24%,821,Geeignet,29,2,4813
560103 — HCO Bulletin — Six Levels of Processing - Issue 7  [B033-007].txt,5.96%,1.49%,1410,Ungeeignet,84,21,8355
730701 — HCO Bulletin — Money Assist  [B051-052].txt,2.35%,0.67%,597,Geeignet,14,4,3372
600204 — HCO Bulletin — Overt Manifestations on a Low-Toned Case  [B024-031].txt,1.68%,0.00%,417,Geeignet,7,0,2370
770301 Issue 1 — HCO Bulletin — Cancellation of Integrity Processing HCOBs  [B101-006].txt,8.61%,0.00%,267,Ungeeignet,23,0,1736
700717 — HCO Bulletin — Let the PC Have His Full End Phenomena  [B094-021].txt,6.01%,0.26%,383,Ungeeignet,23,1,2306
600414 — HCO Bulletin — New PE Data  [B139-066].txt,2.55%,0.00%,707,Geeignet,18,0,4113
590611 — HCO Bulletin — Magazine Articles  [B023-094].txt,2.69%,0.34%,297,Geeignet,8,1,1775
730711RB — HCO Bulletin — Assist Summary  [B097-008].txt,3.58%,0.09%,3439,Geeignet,123,3,20025
"590807 — HCO Bulletin — Handling of Communication Processes - Some Rapid Data, The  [B023-129].txt",6.70%,0.64%,1404,Ungeeignet,94,9,8353
"640908 — HCO Bulletin — Overts, What Lies Behind Them  [B030-019].txt",1.52%,0.51%,394,Geeignet,6,2,2285
600108 — HCO Bulletin — OT Procedure for HCS-BScn Courses  [B141-002].txt,11.63%,2.25%,1066,Ungeeignet,124,24,6839
680906 — HCO Bulletin — Checking for False Reads  [B166-010].txt,7.22%,0.00%,97,Ungeeignet,7,0,554
"690519 — HCO Bulletin — Health Form, Use Of - A Brief Description of Auditing  [B075-042].txt",2.54%,0.08%,1259,Geeignet,32,1,6893
810131 — HCO Bulletin Attachment — FES Summary  [B082-037].txt,6.21%,0.61%,1143,Ungeeignet,71,7,7080
591223 — HCO Bulletin — Responsibility  [B035-188].txt,1.72%,0.13%,754,Geeignet,13,1,4290
590925 — HCO Bulletin — HAS Co-Audit  [B071-031].txt,2.23%,0.00%,359,Geeignet,8,0,2020
710913 — HCO Bulletin — Trouble Shooting  [B045-044].txt,1.71%,0.49%,821,Geeignet,14,4,4614
580206 — HCO Bulletin — HGC Clear Procedure Outline - Part 2 - CCH 0b - Help in Full  [B022-017].txt,1.23%,1.23%,244,Geeignet,3,3,1385
611123 — HCO Bulletin — Meter Reading  [B037-073].txt,4.55%,0.00%,748,Geeignet,34,0,4383
580912 — HCO Bulletin — Post Case Analysis Routine  [B022-070].txt,4.00%,0.00%,100,Geeignet,4,0,600
690528 Issue 2 — HCO Bulletin — Dianetics and Results - Dianetic Counseling Groups  [B093-023].txt,1.31%,0.00%,762,Geeignet,10,0,4478
600720 — HCO Bulletin — Some Recent Case Histories  [B140-014].txt,4.42%,0.58%,520,Geeignet,23,3,3119
761024RA — HCO Bulletin — Delivery Repair Lists  [B079-046].txt,4.11%,0.33%,3019,Geeignet,124,10,17359
700710 — HCO Bulletin — Two-Way Comm - A Class III Action  [B010-073].txt,4.72%,0.39%,254,Geeignet,12,1,1459
570409 — HCO London Bulletin — List of ''Purposes''  [B021-014].txt,2.28%,0.00%,527,Geeignet,12,0,3360
740318R — HCO Bulletin — E-Meters - Sensitivity Errors  [Misc03-025-6].txt,2.64%,0.35%,568,Geeignet,15,2,3201
721213R — HCO Bulletin — Integrity Processing Questions Must Be FNed  [B052-061].txt,4.69%,0.64%,469,Geeignet,22,3,2848
720222 — HCO Bulletin — Word Clearing Method 4  [B048-046].txt,12.27%,1.53%,978,Ungeeignet,120,15,5674
"600107 — HCO Bulletin — Unmoving Case, The  [B027-003].txt",2.17%,0.00%,828,Geeignet,18,0,4648
690423 Issue 3 — HCO Bulletin — Past Lives  [B159-016].txt,0.79%,0.00%,757,Geeignet,6,0,4343
"801220 — HCO Bulletin — HCOPL (and HCOB) of 20 Dec 80, ''Prerequisites for Solo Auditor Course and Advanced Course Levels'', Cancelled 25 Nov 85  [B104-017].txt",5.95%,0.54%,185,Ungeeignet,11,1,1167
620524 — HCO Bulletin — Q & A  [B160-010].txt,1.72%,0.25%,1571,Geeignet,27,4,8449
800829 — HCO Bulletin — How Not to Miss out on Gains from Your Auditing  [B104-009].txt,1.41%,0.02%,4477,Geeignet,63,1,25588
600706 — HCO Bulletin — Calling All Auditors about Help  [B027-055].txt,5.03%,0.72%,557,Ungeeignet,28,4,3269
711023 Issue 5 — HCO Bulletin — Personnel Programmer Ethics Intervention Rights  [B011-209].txt,4.83%,0.74%,269,Geeignet,13,2,1697
710609 Issue 3 — HCO Bulletin — CS Rules  [B142-043].txt,2.49%,0.00%,563,Geeignet,14,0,3079
591118 — HCO Bulletin — 'Congratulations HASI - South Africa...'  [B023-263].txt,4.19%,0.26%,382,Geeignet,16,1,2507
700620 — HCO Bulletin — Summary Report  [B043-058].txt,1.61%,0.00%,186,Geeignet,3,0,1227
680828 Issue 2 — HCO Bulletin — Drugs  [B041-063].txt,1.63%,0.81%,492,Geeignet,8,4,2687
580919 — HCO Bulletin — Executives  [B034-070].txt,3.16%,0.77%,1678,Geeignet,53,13,10008
600324 — HCO Bulletin — Goals in the Rudiments  [B036-058].txt,2.45%,0.30%,1672,Geeignet,41,5,9373
610601 — HCO Bulletin — Assessing  [B037-037].txt,3.15%,0.00%,508,Geeignet,16,0,2876
600210 Issue 2 — HCO Bulletin — Restoration of Certificates  [B027-012].txt,6.17%,0.00%,81,Ungeeignet,5,0,552
820508 — HCO Bulletin — Op Pro by Dup - End Phenomena  [B064-021].txt,4.68%,1.43%,491,Geeignet,23,7,2839
700424 — HCO Bulletin — Composite Engrams  [B076-017].txt,3.93%,0.00%,509,Geeignet,20,0,2983
750830R — HCO Bulletin — Art  [B055-005].txt,2.06%,0.06%,1557,Geeignet,32,1,9449
"780206RA — HCO Bulletin Attachment — Purification Rundown, The  [B165-032].txt",3.91%,0.37%,537,Geeignet,21,2,3187
570717 — HCO Training Bulletin — Changes in Training Drills  [B021-040].txt,23.74%,3.28%,396,Ungeeignet,94,13,2557
630722 — HCO Bulletin — You Can Be Right  [B137-002].txt,2.09%,0.00%,1961,Geeignet,41,0,11257
591231 — HCO Bulletin — Blow-Offs  [B035-192].txt,1.24%,0.00%,1530,Geeignet,19,0,8624
651201 — HCO Bulletin — CCHs  [B005-051].txt,4.63%,0.16%,1254,Geeignet,58,2,7465
620524 — HCO Bulletin — Q & A  [B136-002].txt,3.04%,0.51%,1577,Geeignet,48,8,8520
"710620 — HCO Bulletin — Supreme Test of a CS, The  [B142-049].txt",1.84%,0.37%,544,Geeignet,10,2,2806
700625 Issue 3 — HCO Bulletin — Fishing a Realization  [B010-068].txt,2.24%,0.42%,715,Geeignet,16,3,4385
590912 — HCO Bulletin — Processing a New Mother  [B023-172].txt,7.50%,0.00%,80,Ungeeignet,6,0,484
600527 Issue 2 — HCO Bulletin — 'Dear Scientologist'  [B141-029].txt,3.25%,0.22%,891,Geeignet,29,2,5118
570222 — HCO Bulletin — Policy of Mail Handling for Prospective Preclears and Students  [B021-002].txt,10.19%,0.49%,206,Ungeeignet,21,1,1267
600526 — HCO Bulletin — Security Checks  [B027-050].txt,4.01%,0.11%,872,Geeignet,35,1,4992
710930 Issue 9 — HCO Bulletin — Drill - Recall Lists Model Session  [B045-064].txt,4.39%,0.67%,1503,Geeignet,66,10,8247
840310 Issue 2 — HCO Bulletin — Oils Can Go Rancid  [B057-052].txt,1.10%,0.49%,816,Geeignet,9,4,4553
600115 — HCO Bulletin — PAB Mailings  [B036-009].txt,1.23%,2.47%,81,Geeignet,1,2,563
680119 — HCO Bulletin — S & Ds - S & Ds by Button  [B008-008].txt,3.57%,1.78%,617,Geeignet,22,11,3287
791205 — HCO Bulletin — Cancellation of HCOB 5 Dec 79 - ''The Difference between the Comm Cycle in Regular Auditing and Cycles of Action in Solo...''  [B055-064].txt,3.47%,0.27%,375,Geeignet,13,1,2227
810721 Issue 1 — HCO Bulletin Attachment — Full Assist Checklists for Injuries and Illnesses - Attachment 3  [B082-036].txt,6.32%,0.40%,4034,Ungeeignet,255,16,23347
701028 — HCO Bulletin — Non-Application  [B043-115].txt,6.11%,0.00%,393,Ungeeignet,24,0,2213
581111 — HCO Bulletin — ACC Schedule  [B034-081].txt,20.62%,0.00%,97,Ungeeignet,20,0,747
720215 — HCO Bulletin — False TA Addition 2  [B012-028].txt,3.21%,0.00%,280,Geeignet,9,0,1489
590921 — HCO Bulletin — New Ads for PE Foundation  [B023-178].txt,5.95%,0.60%,336,Ungeeignet,20,2,1994
"800730 — HCO Bulletin — Nature of a Being, The  [B059-016].txt",0.87%,0.11%,918,Geeignet,8,1,5184
590203 — HCO Bulletin — HGC Current Procedure  [B023-027].txt,7.00%,0.97%,514,Ungeeignet,36,5,3190
620329 — HCO Bulletin — CCHs Again - When to Use the CCHs  [B002-018].txt,4.94%,0.36%,1113,Geeignet,55,4,6037
710526 — HCO Bulletin — TRs Course and Auditing - Mixing Major Actions  [B044-068].txt,5.99%,1.08%,1018,Ungeeignet,61,11,5551
600128 — HCO Bulletin — 'The following is a cable message received today from LRH to HCS Course Chief Instructor Dick Halpern...'  [B036-022].txt,8.91%,0.00%,101,Ungeeignet,9,0,615
800911 — HCO Bulletin — L4BRA Words List  [B059-018].txt,5.85%,0.49%,410,Ungeeignet,24,2,2620
720830 Issue 1R — HCO Bulletin — Expanded Dianetics Case Histories  [B050-027].txt,4.31%,0.17%,580,Geeignet,25,1,3544
690722 Issue 2 — HCO Bulletin — High TA Assessment  [B009-133].txt,2.48%,0.19%,524,Geeignet,13,1,2847
"670819 — HCO Bulletin — Supreme Test, The  [B138-008].txt",0.98%,0.22%,921,Geeignet,9,2,5076
781231 Issue 2R — HCO Bulletin — Outline of PTS Handling  [B055-058].txt,10.47%,1.08%,2139,Ungeeignet,224,23,12368
"660927 — HCO Bulletin — Anti-Social Personality - The Anti-Scientologist, The  [B090-005].txt",0.61%,0.06%,3097,Geeignet,19,2,19270
710421 — HCO Bulletin — Quadruple Dianetics - Dangers Of  [B053-005].txt,4.95%,0.00%,2041,Geeignet,101,0,11370
"591020 — HCO Bulletin — Experimental Process, An  [B023-231].txt",6.19%,0.74%,404,Ungeeignet,25,3,2389
710703R — HCO Bulletin — Auditing by Lists  [B079-046].txt,2.68%,0.23%,1306,Geeignet,35,3,6916
811007R — HCO Bulletin — Method 3 Word Clearing  [B056-080].txt,17.14%,1.65%,1330,Ungeeignet,228,22,7771
600424 — HCO Bulletin — Concerning the Campaign for Presidency  [B027-038].txt,2.83%,0.16%,637,Geeignet,18,1,3697
610616 — HCO Bulletin — CCHs and Routine 1  [B037-042].txt,3.05%,0.30%,328,Geeignet,10,1,1842
710616 Issue 1 — HCO Bulletin — Rapid TR-2  [B012-037].txt,17.81%,0.43%,466,Ungeeignet,83,2,2723
610417 — HCO Bulletin — Training Drills Modernized  [B154-006].txt,1.18%,0.00%,2372,Geeignet,28,0,13961
591022 — HCO Bulletin — Personal Efficiency Course  [B133-066].txt,4.29%,0.61%,163,Geeignet,7,1,914
711125 Issue 2 — HCO Bulletin — Resistive Cases - Former Therapy  [B052-039].txt,2.99%,0.00%,768,Geeignet,23,0,4469
610921 — HCO Bulletin — Security Check Children - HCO WW Security Form 8  [B037-058].txt,7.81%,0.48%,1255,Ungeeignet,98,6,7347
"710808 — HCO Bulletin — Ivory Tower, The  [B011-127].txt",5.61%,0.12%,855,Ungeeignet,48,1,4614
690303 — HCO Bulletin — Case Gain - Completing Levels  [B061-027].txt,1.61%,0.16%,622,Geeignet,10,1,3257
590112 — HCO Bulletin — Tone of Voice - Acknowledgement  [B023-015].txt,8.89%,0.00%,90,Ungeeignet,8,0,599
680116 — HCO Bulletin — Starting of Preclears  [B041-042].txt,6.73%,0.00%,104,Ungeeignet,7,0,650
700911 — HCO Bulletin — Chronic Somatic - Dianetic Handling Of  [B043-097].txt,4.46%,0.00%,112,Geeignet,5,0,645
600616 — HCO Bulletin — Calling All Auditors about Help  [B024-154].txt,4.33%,0.15%,646,Geeignet,28,1,3788
601208 — HCO Bulletin — Clearing Routine  [B114-044].txt,7.02%,0.00%,755,Ungeeignet,53,0,4479
720403 Issue 2 — HCO Bulletin — Clearing Lists and R3R  [B012-064].txt,2.67%,0.00%,486,Geeignet,13,0,3059
811008 Issue 3 — HCO Bulletin — Word Clearing Method 2  [B060-015].txt,2.52%,0.26%,1902,Geeignet,48,5,10874
591112 — HCO Bulletin — Acknowledgements in Auditing  [B071-040].txt,3.73%,0.21%,483,Geeignet,18,1,2891
800529 — HCO Bulletin — Co-Audits - How to Run Them  [B056-022].txt,1.62%,0.04%,5436,Geeignet,88,2,31437
600927 — HCO Bulletin — Congress and ACC Plans  [B024-199].txt,6.45%,1.08%,186,Ungeeignet,12,2,1124
670630 — HCO Bulletin — Evidences of an Aberrated Area  [B007-007].txt,6.73%,1.83%,327,Ungeeignet,22,6,2100
720407 — HCO Bulletin — Touch Assists - Correct Ones  [B012-069].txt,2.36%,0.48%,1656,Geeignet,39,8,9238
601006 — HCO Bulletin — Thirty-Six New Presessions  [B114-034].txt,15.68%,1.21%,912,Ungeeignet,143,11,5595
800410 — HCO Bulletin — Auditor Beingness  [B058-034].txt,1.38%,0.20%,3472,Geeignet,48,7,19011
600623 — HCO Horticultural Bulletin — Fifth Dynamic Research  [B024-159].txt,2.83%,0.90%,778,Geeignet,22,7,4659
700828R — HCO Bulletin — HC Outpoint-Pluspoint Lists R  [B094-030].txt,9.54%,2.96%,608,Ungeeignet,58,18,4225
730713 — HCO Bulletin — FOLO Programs Chief Integrity List  [B051-059].txt,5.70%,1.73%,579,Ungeeignet,33,10,3580
690726 — HCO Bulletin — Body and Standard  [B042-123].txt,3.82%,0.61%,655,Geeignet,25,4,3909
600228 — HCO Bulletin — CCH Training  [B027-019].txt,3.78%,0.00%,185,Geeignet,7,0,1123
"630306 — HCO Bulletin — Correction to HCO Bulletin of February 22, 1963  [B063-006].txt",3.10%,0.34%,290,Geeignet,9,1,1672
"600103 — HCO Bulletin — Third Dynamic for Scientology, A  [B027-002].txt",3.79%,0.00%,290,Geeignet,11,0,1773
780624RA — HCO Bulletin — Original Assessment Sheet  [B079-038].txt,3.71%,0.82%,1698,Geeignet,63,14,11617
"620111 — HCO Bulletin — Security Checking, Twenty-Ten - Theory  [B002-005].txt",5.87%,0.00%,664,Ungeeignet,39,0,3972
600901 — HCO Bulletin — Presession 02  [B140-025].txt,1.41%,0.12%,1700,Geeignet,24,2,9543
"780924 Issue 1 — HCO Bulletin — End of Endless Int Repair Rundown, The  [B165-050].txt",15.43%,2.39%,2262,Ungeeignet,349,54,12884
620721 — HCO Bulletin — Rudiments Repetitive or Fast  [B136-003].txt,4.55%,0.45%,220,Geeignet,10,1,1261
611207 — HCO Bulletin — Sec Checks Vital  [B037-075].txt,2.74%,0.25%,804,Geeignet,22,2,4661
"711130 — HCO Bulletin — Code of a CS, The  [B047-019].txt",5.08%,0.42%,708,Ungeeignet,36,3,3963
840201 — HCO Bulletin — How to ''View'' Art  [B062-030].txt,0.66%,0.25%,1216,Geeignet,8,3,6615
"630925 — HCO Bulletin — Listing and Nulling for Locks, Not RIs  [B153-049].txt",3.22%,0.25%,1985,Geeignet,64,5,10993
"590521 — HCO Bulletin — HGC Allowed Processes and ACC Processes as of 21 May, 1959  [B133-029].txt",7.65%,1.31%,536,Ungeeignet,41,7,3223
690303 — HCO Bulletin — Case Gain - Completing Levels  [B075-007].txt,1.83%,0.17%,601,Geeignet,11,1,3084
"681018 — HCO Bulletin — 'The correct order in which Sub-zeros, Grades and OT section are administered is...'  [B041-091].txt",2.41%,2.41%,83,Geeignet,2,2,492
811217 — HCO Bulletin — Post Purpose Clearing Revived  [B060-027].txt,3.93%,0.00%,839,Geeignet,33,0,4645
700820 — HCO Bulletin — Two Complete Differences - Assessment - Listing and Nulling  [B076-035].txt,7.71%,1.01%,1388,Ungeeignet,107,14,7716
790807 — HCO Bulletin — False Data Stripping  [PL084-010].txt,2.02%,0.00%,4466,Geeignet,90,0,25469
690716 — HCO Bulletin — Urgent - Important - 'I have made a breakthrough in auditor training...'  [B075-062].txt,2.88%,0.45%,660,Geeignet,19,3,3666
811024 — HCO Bulletin — Group Processing Session - ''Accept'' - ''Reject''  [B056-083].txt,3.68%,0.74%,136,Geeignet,5,1,938
"670819 — HCO Bulletin — Supreme Test, The  [B091-002].txt",1.46%,0.21%,959,Geeignet,14,2,5291
700826R — HCO Bulletin — Incomplete Cases  [B055-014].txt,2.02%,0.48%,841,Geeignet,17,4,4719
600317 — HCO Bulletin — Standardized Sessions  [B036-055].txt,5.08%,0.71%,1261,Ungeeignet,64,9,7609
590909 — HCO Bulletin — Magazine Article  [B023-166].txt,4.46%,1.11%,359,Geeignet,16,4,2154
650614 Issue 2 — HCO Bulletin — Summary Report  [B138-003].txt,2.09%,0.16%,621,Geeignet,13,1,3665
710404-1R — HCO Bulletin — Use of Quad Dianetics  [B053-013].txt,8.08%,2.83%,990,Ungeeignet,80,28,5576
"600202 — HCO Bulletin — Co-Audit Team, The  [B036-024].txt",2.11%,0.20%,996,Geeignet,21,2,5592
700329 — HCO Bulletin — Auditing and Ethics  [B043-027].txt,7.23%,0.00%,83,Ungeeignet,6,0,515
690303 — HCO Bulletin — Case Gain - Completing Levels  [B042-013].txt,1.67%,0.33%,599,Geeignet,10,2,3079
580820 — HCO Bulletin — Out of Sessionness  [B021-048].txt,5.12%,0.00%,293,Ungeeignet,15,0,1662
600809 — HCO Bulletin — Epitaph  [B140-019].txt,5.75%,0.37%,818,Ungeeignet,47,3,4928
XXXXXX — HCO Bulletin Attachment — Folder Summary Form  [B050-046].txt,0.00%,0.00%,5,Geeignet,0,0,31
590728 — HCO Bulletin — Our Goals  [B035-087].txt,12.13%,1.05%,668,Ungeeignet,81,7,4069
700126 — HCO Bulletin — Exterior and Sec Checks  [B010-008].txt,6.77%,0.00%,310,Ungeeignet,21,0,1842
740106 — HCO Bulletin — Assist Summary - Addition  [B052-001].txt,2.54%,0.32%,945,Geeignet,24,3,5300
690704 — HCO Bulletin — Auditing of OT III Preclears  [B151-013].txt,1.27%,0.00%,157,Geeignet,2,0,877
810626 — HCO Bulletin — Cancellation of HCOB 26 June 1981 - Use of LRH Model Auditing Tapes  [B105-005].txt,2.40%,0.00%,125,Geeignet,3,0,782
591118 — HCO Bulletin — 1st Melbourne ACC Material  [B023-265].txt,4.61%,1.05%,477,Geeignet,22,5,2826
580604 — HCO Bulletin — Running Valences  [B022-053].txt,5.12%,0.34%,293,Ungeeignet,15,1,1798
"690527 — HCO Bulletin — VIII's Nightmare, The  [B042-082].txt",5.70%,0.00%,263,Ungeeignet,15,0,1441
710306 Issue 1 — HCO Bulletin — New Uses for the Green Form  [B044-020].txt,2.87%,0.78%,383,Geeignet,11,3,2063
770121RB — HCO Bulletin — False TA Checklist  [B082-035].txt,5.72%,0.23%,3060,Ungeeignet,175,7,16433
640814 — HCO Bulletin — Prepcheck Buttons  [B066-011].txt,2.96%,0.17%,575,Geeignet,17,1,3464
710715 Issue 1 — HCO Bulletin — Quads Cancelled  [B078-043].txt,5.86%,0.71%,563,Ungeeignet,33,4,2947
620704 — HCO Bulletin — Bulletin Changes (Changes in Model Session...)  [B160-017].txt,2.68%,0.00%,822,Geeignet,22,0,4694
"780206RA-1 — HCO Bulletin — Purification Rundown - Errata and Additions, The  [B054-002].txt",2.07%,0.00%,822,Geeignet,17,0,4637
711105 — HCO Bulletin — TR Course De-Bug Drill  [B047-003].txt,4.55%,0.17%,1209,Geeignet,55,2,6907
"670819 — HCO Bulletin — Supreme Test, The  [B007-008].txt",2.30%,0.11%,913,Geeignet,21,1,5083
710404-1R — HCO Bulletin — Use of Quad Dianetics  [B053-014].txt,7.26%,2.82%,992,Ungeeignet,72,28,5612
"600331 — HCO Bulletin — Hubbard Co-Audit Control Panel, The  [B139-061].txt",6.53%,0.78%,383,Ungeeignet,25,3,2321
681215 — HCO Bulletin — L4B - for Assessment of All Listing Errors  [B010-093].txt,3.80%,0.10%,973,Geeignet,37,1,5352
660822 — HCO Bulletin — Floating Needles - Listing Processes  [B149-001].txt,1.40%,0.00%,356,Geeignet,5,0,2068
590819 — HCO Bulletin — To a Roman Catholic  [B035-099].txt,2.16%,0.00%,324,Geeignet,7,0,1938
650427 — HCO Bulletin — Clay Table Healing Goof  [B040-055].txt,4.88%,0.00%,205,Geeignet,10,0,1188
620104 — HCO Bulletin — Security Checking - Fundamentals  [B002-001].txt,4.16%,0.28%,2478,Geeignet,103,7,14625
650721 — HCO Bulletin — Release Rehabilitation  [B031-016].txt,1.66%,0.24%,421,Geeignet,7,1,2328
"690611 — HCO Bulletin — Materials, Scarcity Of  [B042-093].txt",3.91%,0.43%,230,Geeignet,9,1,1351
880701 — HCO Bulletin — Questionable Auditing Repair List - Word List  [B110-004].txt,4.49%,0.00%,423,Geeignet,19,0,2801
600211 — HCO Bulletin — Create and Confront  [B027-014].txt,2.28%,0.00%,966,Geeignet,22,0,5705
600926 — HCO Bulletin — Getting off O-Ws  [B036-143].txt,2.89%,0.68%,588,Geeignet,17,4,3290
600706 — HCO Bulletin — Calling All Auditors about Help  [B065-024].txt,5.05%,0.36%,555,Ungeeignet,28,2,3258
710417 — HCO Bulletin — HGC Morale and Auditor Competence - Touch Checkouts and Drilling on Tech Materials  [B011-045].txt,5.38%,0.46%,650,Ungeeignet,35,3,4052
690627 — HCO Bulletin — Q & A  [B009-116].txt,4.78%,0.26%,1526,Geeignet,73,4,8673
591013 — HCO Bulletin — DEI Expanded Scale (with a Note on Salesmen)  [B023-215].txt,0.58%,0.00%,690,Geeignet,4,0,4077
670924 — HCO Bulletin — Seasickness  [B165-041].txt,37.50%,3.57%,112,Ungeeignet,42,4,690
"700528 — HCO Bulletin — Correction Lists, Use Of  [B010-050].txt",3.08%,0.44%,455,Geeignet,14,2,2435
590921 — HCO Bulletin — Present Time Problem Processes  [B084-004].txt,4.02%,0.29%,696,Geeignet,28,2,4048
"710930 Issue 6 — HCO Bulletin — CCHs 5, 6 & 7  [B052-015].txt",3.85%,0.18%,571,Geeignet,22,1,3610
690914 Issue 5 — HCO Bulletin — Learning Processes - Education by Duplication and Repetition  [B009-154].txt,2.79%,0.21%,466,Geeignet,13,1,2786
701128 — HCO Bulletin — Psychosis  [B043-122].txt,6.12%,0.34%,1470,Ungeeignet,90,5,8850
"900327 Issue 1 — HCO Bulletin — Purification Rundown and Radiation, The  [B112-001].txt",0.82%,0.21%,485,Geeignet,4,1,3059
620906 — HCO Bulletin — CCHs - More Information  [B002-063].txt,6.55%,0.00%,397,Ungeeignet,26,0,2436
620721 — HCO Bulletin — Rudiments Repetitive or Fast  [B002-050].txt,2.78%,0.00%,216,Geeignet,6,0,1252
"710308 — HCO Bulletin — Case Actions, Off-Line  [B044-023].txt",3.97%,0.14%,706,Geeignet,28,1,4001
710630RB — HCO Bulletin — Expanded Green Form 40RD - EXGF40RD  [B174-012].txt,5.53%,0.59%,3578,Ungeeignet,198,21,21307
