Dateiname,Dateigröße,Datum,LRH,Nicht-LRH,Schlussfolgerung,Model
590921 — HCO Bulletin — New Ads for PE Foundation  [B023-178].txt,1994,16-10-24 22:02,0.0012,0.9988,Wahrscheinlich Nicht-LRH,roberta-base
"800730 — HCO Bulletin — Nature of a Being, The  [B059-016].txt",5184,16-10-24 22:02,0.9139,0.0861,Wahrscheinlich LRH,roberta-base
590203 — HCO Bulletin — HGC Current Procedure  [B023-027].txt,3190,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
620329 — HCO Bulletin — CCHs Again - When to Use the CCHs  [B002-018].txt,6037,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
710526 — HCO Bulletin — TRs Course and Auditing - Mixing Major Actions  [B044-068].txt,5551,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
600128 — HCO Bulletin — 'The following is a cable message received today from LRH to HCS Course Chief Instructor Dick Halpern...'  [B036-022].txt,615,16-10-24 22:02,0.6399,0.3601,Wahrscheinlich LRH,roberta-base
800911 — HCO Bulletin — L4BRA Words List  [B059-018].txt,2620,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
720830 Issue 1R — HCO Bulletin — Expanded Dianetics Case Histories  [B050-027].txt,3544,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
690722 Issue 2 — HCO Bulletin — High TA Assessment  [B009-133].txt,2847,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
"670819 — HCO Bulletin — Supreme Test, The  [B138-008].txt",5076,16-10-24 22:02,0.0068,0.9932,Wahrscheinlich Nicht-LRH,roberta-base
781231 Issue 2R — HCO Bulletin — Outline of PTS Handling  [B055-058].txt,12368,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
"660927 — HCO Bulletin — Anti-Social Personality - The Anti-Scientologist, The  [B090-005].txt",19270,16-10-24 22:02,0.2726,0.7274,Wahrscheinlich Nicht-LRH,roberta-base
710421 — HCO Bulletin — Quadruple Dianetics - Dangers Of  [B053-005].txt,11370,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
"591020 — HCO Bulletin — Experimental Process, An  [B023-231].txt",2389,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
710703R — HCO Bulletin — Auditing by Lists  [B079-046].txt,6916,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
811007R — HCO Bulletin — Method 3 Word Clearing  [B056-080].txt,7771,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
600424 — HCO Bulletin — Concerning the Campaign for Presidency  [B027-038].txt,3697,16-10-24 22:02,0.0379,0.9621,Wahrscheinlich Nicht-LRH,roberta-base
610616 — HCO Bulletin — CCHs and Routine 1  [B037-042].txt,1842,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
710616 Issue 1 — HCO Bulletin — Rapid TR-2  [B012-037].txt,2723,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
610417 — HCO Bulletin — Training Drills Modernized  [B154-006].txt,13961,16-10-24 22:02,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-base
591022 — HCO Bulletin — Personal Efficiency Course  [B133-066].txt,914,16-10-24 22:02,0.0038,0.9962,Wahrscheinlich Nicht-LRH,roberta-base
711125 Issue 2 — HCO Bulletin — Resistive Cases - Former Therapy  [B052-039].txt,4469,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
610921 — HCO Bulletin — Security Check Children - HCO WW Security Form 8  [B037-058].txt,7347,16-10-24 22:02,0.0013,0.9987,Wahrscheinlich Nicht-LRH,roberta-base
"710808 — HCO Bulletin — Ivory Tower, The  [B011-127].txt",4614,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
690303 — HCO Bulletin — Case Gain - Completing Levels  [B061-027].txt,3257,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
590112 — HCO Bulletin — Tone of Voice - Acknowledgement  [B023-015].txt,599,16-10-24 22:02,0.0123,0.9877,Wahrscheinlich Nicht-LRH,roberta-base
680116 — HCO Bulletin — Starting of Preclears  [B041-042].txt,650,16-10-24 22:02,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-base
700911 — HCO Bulletin — Chronic Somatic - Dianetic Handling Of  [B043-097].txt,645,16-10-24 22:02,0.0012,0.9988,Wahrscheinlich Nicht-LRH,roberta-base
600616 — HCO Bulletin — Calling All Auditors about Help  [B024-154].txt,3788,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
601208 — HCO Bulletin — Clearing Routine  [B114-044].txt,4479,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
720403 Issue 2 — HCO Bulletin — Clearing Lists and R3R  [B012-064].txt,3059,16-10-24 22:02,0.0020,0.9980,Wahrscheinlich Nicht-LRH,roberta-base
811008 Issue 3 — HCO Bulletin — Word Clearing Method 2  [B060-015].txt,10874,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
591112 — HCO Bulletin — Acknowledgements in Auditing  [B071-040].txt,2891,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
800529 — HCO Bulletin — Co-Audits - How to Run Them  [B056-022].txt,31437,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
600927 — HCO Bulletin — Congress and ACC Plans  [B024-199].txt,1124,16-10-24 22:02,0.0013,0.9987,Wahrscheinlich Nicht-LRH,roberta-base
670630 — HCO Bulletin — Evidences of an Aberrated Area  [B007-007].txt,2100,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
720407 — HCO Bulletin — Touch Assists - Correct Ones  [B012-069].txt,9238,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
601006 — HCO Bulletin — Thirty-Six New Presessions  [B114-034].txt,5595,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
800410 — HCO Bulletin — Auditor Beingness  [B058-034].txt,19011,16-10-24 22:02,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-base
600623 — HCO Horticultural Bulletin — Fifth Dynamic Research  [B024-159].txt,4659,16-10-24 22:02,0.3025,0.6975,Wahrscheinlich Nicht-LRH,roberta-base
700828R — HCO Bulletin — HC Outpoint-Pluspoint Lists R  [B094-030].txt,4225,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
730713 — HCO Bulletin — FOLO Programs Chief Integrity List  [B051-059].txt,3580,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
690726 — HCO Bulletin — Body and Standard  [B042-123].txt,3909,16-10-24 22:02,0.0016,0.9984,Wahrscheinlich Nicht-LRH,roberta-base
600228 — HCO Bulletin — CCH Training  [B027-019].txt,1123,16-10-24 22:02,0.0015,0.9985,Wahrscheinlich Nicht-LRH,roberta-base
"630306 — HCO Bulletin — Correction to HCO Bulletin of February 22, 1963  [B063-006].txt",1672,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
"600103 — HCO Bulletin — Third Dynamic for Scientology, A  [B027-002].txt",1773,16-10-24 22:02,0.0115,0.9885,Wahrscheinlich Nicht-LRH,roberta-base
780624RA — HCO Bulletin — Original Assessment Sheet  [B079-038].txt,11617,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
"620111 — HCO Bulletin — Security Checking, Twenty-Ten - Theory  [B002-005].txt",3972,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
600901 — HCO Bulletin — Presession 02  [B140-025].txt,9543,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
"780924 Issue 1 — HCO Bulletin — End of Endless Int Repair Rundown, The  [B165-050].txt",12884,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
620721 — HCO Bulletin — Rudiments Repetitive or Fast  [B136-003].txt,1261,16-10-24 22:02,0.0035,0.9965,Wahrscheinlich Nicht-LRH,roberta-base
611207 — HCO Bulletin — Sec Checks Vital  [B037-075].txt,4661,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
"711130 — HCO Bulletin — Code of a CS, The  [B047-019].txt",3963,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
840201 — HCO Bulletin — How to ''View'' Art  [B062-030].txt,6615,16-10-24 22:02,0.8978,0.1022,Wahrscheinlich LRH,roberta-base
"630925 — HCO Bulletin — Listing and Nulling for Locks, Not RIs  [B153-049].txt",10993,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
"590521 — HCO Bulletin — HGC Allowed Processes and ACC Processes as of 21 May, 1959  [B133-029].txt",3223,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
690303 — HCO Bulletin — Case Gain - Completing Levels  [B075-007].txt,3084,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
"681018 — HCO Bulletin — 'The correct order in which Sub-zeros, Grades and OT section are administered is...'  [B041-091].txt",492,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
811217 — HCO Bulletin — Post Purpose Clearing Revived  [B060-027].txt,4645,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
700820 — HCO Bulletin — Two Complete Differences - Assessment - Listing and Nulling  [B076-035].txt,7716,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
790807 — HCO Bulletin — False Data Stripping  [PL084-010].txt,25469,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
690716 — HCO Bulletin — Urgent - Important - 'I have made a breakthrough in auditor training...'  [B075-062].txt,3666,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
811024 — HCO Bulletin — Group Processing Session - ''Accept'' - ''Reject''  [B056-083].txt,938,16-10-24 22:02,0.0018,0.9982,Wahrscheinlich Nicht-LRH,roberta-base
"670819 — HCO Bulletin — Supreme Test, The  [B091-002].txt",5291,16-10-24 22:02,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-base
700826R — HCO Bulletin — Incomplete Cases  [B055-014].txt,4719,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
600317 — HCO Bulletin — Standardized Sessions  [B036-055].txt,7609,16-10-24 22:02,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-base
590909 — HCO Bulletin — Magazine Article  [B023-166].txt,2154,16-10-24 22:02,0.4324,0.5676,Wahrscheinlich Nicht-LRH,roberta-base
650614 Issue 2 — HCO Bulletin — Summary Report  [B138-003].txt,3665,16-10-24 22:02,0.0028,0.9972,Wahrscheinlich Nicht-LRH,roberta-base
710404-1R — HCO Bulletin — Use of Quad Dianetics  [B053-013].txt,5576,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
"600202 — HCO Bulletin — Co-Audit Team, The  [B036-024].txt",5592,16-10-24 22:02,0.0012,0.9988,Wahrscheinlich Nicht-LRH,roberta-base
700329 — HCO Bulletin — Auditing and Ethics  [B043-027].txt,515,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
690303 — HCO Bulletin — Case Gain - Completing Levels  [B042-013].txt,3079,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
580820 — HCO Bulletin — Out of Sessionness  [B021-048].txt,1662,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
600809 — HCO Bulletin — Epitaph  [B140-019].txt,4928,16-10-24 22:02,0.0012,0.9988,Wahrscheinlich Nicht-LRH,roberta-base
XXXXXX — HCO Bulletin Attachment — Folder Summary Form  [B050-046].txt,31,16-10-24 22:02,0.0276,0.9724,Wahrscheinlich Nicht-LRH,roberta-base
590728 — HCO Bulletin — Our Goals  [B035-087].txt,4069,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
700126 — HCO Bulletin — Exterior and Sec Checks  [B010-008].txt,1842,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
740106 — HCO Bulletin — Assist Summary - Addition  [B052-001].txt,5300,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
690704 — HCO Bulletin — Auditing of OT III Preclears  [B151-013].txt,877,16-10-24 22:02,0.0035,0.9965,Wahrscheinlich Nicht-LRH,roberta-base
810626 — HCO Bulletin — Cancellation of HCOB 26 June 1981 - Use of LRH Model Auditing Tapes  [B105-005].txt,782,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
591118 — HCO Bulletin — 1st Melbourne ACC Material  [B023-265].txt,2826,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
580604 — HCO Bulletin — Running Valences  [B022-053].txt,1798,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
"690527 — HCO Bulletin — VIII's Nightmare, The  [B042-082].txt",1441,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
710306 Issue 1 — HCO Bulletin — New Uses for the Green Form  [B044-020].txt,2063,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
770121RB — HCO Bulletin — False TA Checklist  [B082-035].txt,16433,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
640814 — HCO Bulletin — Prepcheck Buttons  [B066-011].txt,3464,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
710715 Issue 1 — HCO Bulletin — Quads Cancelled  [B078-043].txt,2947,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
620704 — HCO Bulletin — Bulletin Changes (Changes in Model Session...)  [B160-017].txt,4694,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
"780206RA-1 — HCO Bulletin — Purification Rundown - Errata and Additions, The  [B054-002].txt",4637,16-10-24 22:02,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-base
711105 — HCO Bulletin — TR Course De-Bug Drill  [B047-003].txt,6907,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
"670819 — HCO Bulletin — Supreme Test, The  [B007-008].txt",5083,16-10-24 22:02,0.0016,0.9984,Wahrscheinlich Nicht-LRH,roberta-base
710404-1R — HCO Bulletin — Use of Quad Dianetics  [B053-014].txt,5612,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
"600331 — HCO Bulletin — Hubbard Co-Audit Control Panel, The  [B139-061].txt",2321,16-10-24 22:02,0.0017,0.9983,Wahrscheinlich Nicht-LRH,roberta-base
681215 — HCO Bulletin — L4B - for Assessment of All Listing Errors  [B010-093].txt,5352,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
660822 — HCO Bulletin — Floating Needles - Listing Processes  [B149-001].txt,2068,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
590819 — HCO Bulletin — To a Roman Catholic  [B035-099].txt,1938,16-10-24 22:02,0.9786,0.0214,Wahrscheinlich LRH,roberta-base
650427 — HCO Bulletin — Clay Table Healing Goof  [B040-055].txt,1188,16-10-24 22:02,0.0019,0.9981,Wahrscheinlich Nicht-LRH,roberta-base
620104 — HCO Bulletin — Security Checking - Fundamentals  [B002-001].txt,14625,16-10-24 22:02,0.0208,0.9792,Wahrscheinlich Nicht-LRH,roberta-base
650721 — HCO Bulletin — Release Rehabilitation  [B031-016].txt,2328,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
"690611 — HCO Bulletin — Materials, Scarcity Of  [B042-093].txt",1351,16-10-24 22:02,0.0015,0.9985,Wahrscheinlich Nicht-LRH,roberta-base
880701 — HCO Bulletin — Questionable Auditing Repair List - Word List  [B110-004].txt,2801,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
600211 — HCO Bulletin — Create and Confront  [B027-014].txt,5705,16-10-24 22:02,0.0014,0.9986,Wahrscheinlich Nicht-LRH,roberta-base
600926 — HCO Bulletin — Getting off O-Ws  [B036-143].txt,3290,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
600706 — HCO Bulletin — Calling All Auditors about Help  [B065-024].txt,3258,16-10-24 22:02,0.0017,0.9983,Wahrscheinlich Nicht-LRH,roberta-base
710417 — HCO Bulletin — HGC Morale and Auditor Competence - Touch Checkouts and Drilling on Tech Materials  [B011-045].txt,4052,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
690627 — HCO Bulletin — Q & A  [B009-116].txt,8673,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
591013 — HCO Bulletin — DEI Expanded Scale (with a Note on Salesmen)  [B023-215].txt,4077,16-10-24 22:02,0.0017,0.9983,Wahrscheinlich Nicht-LRH,roberta-base
670924 — HCO Bulletin — Seasickness  [B165-041].txt,690,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
"700528 — HCO Bulletin — Correction Lists, Use Of  [B010-050].txt",2435,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
590921 — HCO Bulletin — Present Time Problem Processes  [B084-004].txt,4048,16-10-24 22:02,0.0010,0.9990,Wahrscheinlich Nicht-LRH,roberta-base
"710930 Issue 6 — HCO Bulletin — CCHs 5, 6 & 7  [B052-015].txt",3610,16-10-24 22:02,0.0012,0.9988,Wahrscheinlich Nicht-LRH,roberta-base
690914 Issue 5 — HCO Bulletin — Learning Processes - Education by Duplication and Repetition  [B009-154].txt,2786,16-10-24 22:02,0.0013,0.9987,Wahrscheinlich Nicht-LRH,roberta-base
701128 — HCO Bulletin — Psychosis  [B043-122].txt,8850,16-10-24 22:02,0.0020,0.9980,Wahrscheinlich Nicht-LRH,roberta-base
"900327 Issue 1 — HCO Bulletin — Purification Rundown and Radiation, The  [B112-001].txt",3059,16-10-24 22:02,0.0020,0.9980,Wahrscheinlich Nicht-LRH,roberta-base
620906 — HCO Bulletin — CCHs - More Information  [B002-063].txt,2436,16-10-24 22:02,0.0018,0.9982,Wahrscheinlich Nicht-LRH,roberta-base
620721 — HCO Bulletin — Rudiments Repetitive or Fast  [B002-050].txt,1252,16-10-24 22:02,0.0077,0.9923,Wahrscheinlich Nicht-LRH,roberta-base
"710308 — HCO Bulletin — Case Actions, Off-Line  [B044-023].txt",4001,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
710630RB — HCO Bulletin — Expanded Green Form 40RD - EXGF40RD  [B174-012].txt,21307,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
630909 — HCO Bulletin — Repetitive Rudiments and Repetitive Prepchecking  [B143-001].txt,5720,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
840225 Issue 2 — HCO Bulletin — Mandatory CSing Checklist - Cancelled  [B062-032].txt,1561,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
600411 — HCO Bulletin — ACC TR  [B036-068].txt,2069,16-10-24 22:02,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-base
590907 — HCO Bulletin — When Is a Process Flat  [B133-057].txt,3180,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
590508 — HCO Bulletin — HAS Co-Audit  [B023-076].txt,3438,16-10-24 22:02,0.0039,0.9961,Wahrscheinlich Nicht-LRH,roberta-base
820416 — HCO Bulletin — More on PTS Handling  [B179-001].txt,4663,16-10-24 22:02,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-base
"780919 Issue 2R — HCO Bulletin — End of Endless Drug Rundowns Repair List, The  [B079-013].txt",3347,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
591005 — HCO Bulletin — Universe Processes  [B133-059].txt,7182,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
710717 — HCO Bulletin — Out of Valence  [B045-013].txt,2167,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
"781231 Issue 3 — HCO Bulletin — Educating the Potential Trouble Source, the First Step Toward Handling - PTS CS-1  [B102-037].txt",8391,16-10-24 22:02,0.0018,0.9982,Wahrscheinlich Nicht-LRH,roberta-base
710904 Issue 1 — HCO Bulletin — Faults in Word Clearing Commonly Met  [B011-151].txt,3844,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
710706 Issue 2 — HCO Bulletin — Clay Demo Errors  [B011-109].txt,1798,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
600428 — HCO Bulletin — Books Are Dissemination  [B036-077].txt,13580,16-10-24 22:02,0.0074,0.9926,Wahrscheinlich Nicht-LRH,roberta-base
830808 — HCO Bulletin — Cancellation of Issues on TRs  [B057-023].txt,2505,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
720229RA — HCO Bulletin — False TA Checklist  [B053-029].txt,3434,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
620405 — HCO Bulletin — CCHs - Auditing Attitude  [B002-019].txt,10294,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
720430 Issue 2 — HCO Bulletin — Expanded Dianetics Handling of Intentions  [B012-098].txt,1354,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
"840303 — HCO Bulletin — Comm Cycle in Solo Auditing, The  [B057-050].txt",5769,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
690522 — HCO Bulletin — Notes on CS Instructions  [B042-075].txt,5041,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
"720224 Issue 1 — HCO Bulletin — Student Examiner Checks the Student, The  [B012-195].txt",730,16-10-24 22:02,0.0040,0.9960,Wahrscheinlich Nicht-LRH,roberta-base
650513 — HCO Bulletin — List 6EW  [B168-026].txt,3281,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
720102 — HCO Bulletin — WC1 Comes First  [B012-002].txt,2099,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
600420 — HCO Bulletin — Success in Australia  [B139-068].txt,660,16-10-24 22:02,0.0024,0.9976,Wahrscheinlich Nicht-LRH,roberta-base
701008 — HCO Bulletin — Persistent FN  [B058-007].txt,4923,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
711120 — HCO Bulletin — HAS Specialist Auditing Program (Revised)  [B011-229].txt,2809,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
610616 — HCO Bulletin — CCHs and Routine 1  [B001-056].txt,1810,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
640413 — HCO Bulletin — Tone Arm Action  [B168-018].txt,18878,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
610417 — HCO Bulletin — Training Drills Modernized  [B144-010].txt,13950,16-10-24 22:02,0.0013,0.9987,Wahrscheinlich Nicht-LRH,roberta-base
730120RA — HCO Bulletin Attachment — PC Examiner Red Tag - Log Book  [B097-005].txt,1061,16-10-24 22:02,0.0197,0.9803,Wahrscheinlich Nicht-LRH,roberta-base
660205 — HCO Bulletin — S & D Warning  [B041-004].txt,4519,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
680816 — HCO Bulletin — Remedy ''New Style'' as Applied to Psychologists  [B041-057].txt,1583,16-10-24 22:02,0.0083,0.9917,Wahrscheinlich Nicht-LRH,roberta-base
711120 — HCO Bulletin — HAS Specialist Auditing Program (Revised)  [B047-005].txt,2732,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
681210 — HCO Bulletin — Correction  [B158-016].txt,611,16-10-24 22:02,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-base
720621 Issue 3 — HCO Bulletin — Method 7  [B012-132].txt,1794,16-10-24 22:02,0.0021,0.9979,Wahrscheinlich Nicht-LRH,roberta-base
"600105 — HCO Bulletin — Idea for Promotion, An  [B024-003].txt",841,16-10-24 22:02,0.0110,0.9890,Wahrscheinlich Nicht-LRH,roberta-base
670119 — HCO Bulletin — Manifestations of Engrams and Secondaries Further Defined  [B069-001].txt,3470,16-10-24 22:02,0.0033,0.9967,Wahrscheinlich Nicht-LRH,roberta-base
810121 — HCO Bulletin — Study and Education - Tape Amendment  [B056-067].txt,1420,16-10-24 22:02,0.0022,0.9978,Wahrscheinlich Nicht-LRH,roberta-base
710731 Issue 2 — HCO Bulletin — Solo CSing  [B011-124].txt,805,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
570517 — HCO Training Bulletin — Definitions  [B021-022].txt,682,16-10-24 22:02,0.0016,0.9984,Wahrscheinlich Nicht-LRH,roberta-base
700730 — HCO Bulletin — Personnel Future Potential Key Questions  [B010-085].txt,6518,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
691123 Issue 3 — HCO Bulletin — Student Rescue Intensive  [B075-089].txt,3442,16-10-24 22:02,0.0018,0.9982,Wahrscheinlich Nicht-LRH,roberta-base
711212 Issue 13 — HCO Bulletin — Cramming Interns  [B011-266].txt,4625,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
630625 — HCO Bulletin — Routine 2H - ARC Breaks by Assessment  [B003-029].txt,4342,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
591118 — HCO Bulletin — 'Congratulations HASI - South Africa...'  [B133-068].txt,2650,16-10-24 22:02,0.0013,0.9987,Wahrscheinlich Nicht-LRH,roberta-base
790131 — HCO Bulletin — Mood Drills  [B165-014].txt,5347,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
680917 — HCO Bulletin — Overrun Process  [B008-045].txt,999,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
620830 — HCO Bulletin — Missed Withhold Handling  [B029-033].txt,5434,16-10-24 22:02,0.0014,0.9986,Wahrscheinlich Nicht-LRH,roberta-base
610321 — HCO Bulletin — Script of a Model Session  [B135-003].txt,8346,16-10-24 22:02,0.0013,0.9987,Wahrscheinlich Nicht-LRH,roberta-base
"710701 Issue 1 — HCO Bulletin — Three Types of Word Clearing, The  [B011-101].txt",1361,16-10-24 22:02,0.0012,0.9988,Wahrscheinlich Nicht-LRH,roberta-base
