Dateiname,Unbekannte_Wörter,Wortfragmente,Wortanzahl,Entscheidung,Unbekannte_Wörter_Anzahl,Wortfragmente_Anzahl,Dateigröße_Bytes
600714 — HCO Bulletin — Current Rundown  [B141-034].txt,2.24%,0.00%,1163,Geeignet,26,0,7138
710602 Issue 1 — HCO Bulletin — Confronting  [B011-070].txt,2.24%,0.47%,1073,Geeignet,24,5,6482
600421 — HCO Bulletin — Presession Processes  [B114-010].txt,2.24%,0.00%,1782,Geeignet,40,0,10436
600205 — HCO Bulletin — Processing the Machine Case  [B024-033].txt,2.24%,0.32%,312,Geeignet,7,1,1799
"590812 — HCO Bulletin — Second Type of Franchise, A  [B035-095].txt",2.24%,0.67%,891,Geeignet,20,6,5168
720905 — HCO Bulletin — High Crime Checkouts  [B050-018].txt,2.24%,1.01%,892,Geeignet,20,9,4832
620503 — HCO Bulletin — ARC Breaks - Missed Withholds  [B002-024].txt,2.24%,0.27%,1875,Geeignet,42,5,10769
"780701 — HCO Bulletin — Dianetic Prepared Assessment Rundown - Action 14, The  [B082-028].txt",2.24%,0.17%,581,Geeignet,13,1,3650
721220 — HCO Bulletin — Sequence and Use of Integrity Processing Forms  [B012-213].txt,2.24%,0.41%,491,Geeignet,11,2,2992
"700614 — HCO Bulletin — Return Program, The  [B076-026].txt",2.25%,0.28%,712,Geeignet,16,2,3920
590903 — HCO Bulletin — Why ''Victim'' Works as a Process  [B035-109].txt,2.25%,0.06%,1648,Geeignet,37,1,9172
710327 — HCO Bulletin — Dianetic Erasure  [B142-023].txt,2.25%,0.00%,667,Geeignet,15,0,3453
650830 — HCO Bulletin — Art  [B040-073].txt,2.25%,0.00%,1508,Geeignet,34,0,9173
721115 — HCO Bulletin — How to Use the Cramming Off TRs Booklets and Tapes  [B050-068].txt,2.25%,0.34%,887,Geeignet,20,3,5051
641116 — HCO Bulletin — Clay Table Label Goofs  [B088-012].txt,2.25%,0.24%,846,Geeignet,19,2,4830
600727 — HCO Bulletin — Double Action Cycles  [B027-060].txt,2.25%,0.26%,757,Geeignet,17,2,4611
600312 — HCO Bulletin — Appreciation  [B036-053].txt,2.25%,0.00%,89,Geeignet,2,0,514
690528 — HCO Bulletin — How Not to Erase  [B009-098].txt,2.25%,0.00%,846,Geeignet,19,0,4640
601215 — HCO Bulletin — Presession 37  [B024-232].txt,2.25%,0.20%,489,Geeignet,11,1,2885
610511 — HCO Bulletin — Assessment by Elimination - SOP Goals  [B028-024].txt,2.25%,0.20%,2001,Geeignet,45,4,10923
650712 — HCO Bulletin — States of Being Attained by Processing  [B148-010].txt,2.26%,0.11%,884,Geeignet,20,1,5053
801105 Issue 2 — HCO Bulletin — Arbitraries  [B059-032].txt,2.26%,0.00%,398,Geeignet,9,0,2294
690716 — HCO Bulletin — Urgent - Important - 'I have made a breakthrough in auditor training...'  [B042-112].txt,2.26%,0.30%,664,Geeignet,15,2,3686
"780924 Issue 1RA — HCO Bulletin — End of Endless Int Repair Rundown, The  [B102-019].txt",2.26%,0.27%,4742,Geeignet,107,13,25509
590508 — HCO Bulletin — HAS Co-Audit  [B023-076].txt,2.26%,0.52%,574,Geeignet,13,3,3438
700731 — HCO Bulletin — Hubbard Consultant - Listen and Two-Way Communication Drills  [B043-081].txt,2.26%,0.53%,751,Geeignet,17,4,4536
"590317 — HCO Bulletin — Insanity Questionnaire, An  [B113-004].txt",2.26%,0.00%,221,Geeignet,5,0,1418
710405 Issue 2 — HCO Bulletin — Summary of How to Write an Auditor's Report and Worksheets for HQS Co-Audit  [B011-040].txt,2.26%,0.23%,442,Geeignet,10,1,2621
590926 — HCO Bulletin — New PE Course Data  [B035-142].txt,2.26%,0.00%,354,Geeignet,8,0,1949
"590908 — HCO Bulletin — Science of Ability, The  [B035-117].txt",2.26%,0.57%,530,Geeignet,12,3,3115
590926 — HCO Bulletin — New PE Course Data  [B023-194].txt,2.26%,0.00%,354,Geeignet,8,0,1952
610717 — HCO Bulletin — Withholds  [B001-066].txt,2.26%,0.38%,266,Geeignet,6,1,1466
630103 — HCO Bulletin — Routine 2 - Opposition Lists - Right and Wrong Oppose  [B153-001].txt,2.26%,0.53%,1506,Geeignet,34,8,8160
730104 — HCO Bulletin — Confront  [B051-001].txt,2.26%,0.56%,354,Geeignet,8,2,2075
720424 Issue 1 — HCO Bulletin — PTS Interviews  [B138-011].txt,2.26%,0.00%,486,Geeignet,11,0,2725
620927 — HCO Bulletin — Problems Intensive Use  [B160-029].txt,2.26%,0.25%,399,Geeignet,9,1,2308
690722 — HCO Bulletin — Important - Auditing Speed  [B009-130].txt,2.26%,0.45%,443,Geeignet,10,2,2510
600929 — HCO Bulletin — Havingness and Duplication  [B114-032].txt,2.26%,0.35%,575,Geeignet,13,2,3490
690402 — HCO Bulletin — Dianetic Assists  [B093-006].txt,2.26%,0.07%,1414,Geeignet,32,1,8523
690506 Issue 2 — HCO Bulletin — Routine 3R Revised - Engram Running by Chains  [B042-048].txt,2.26%,0.20%,1506,Geeignet,34,3,8506
710316R — HCO Bulletin — What Is a Course  [B060-003].txt,2.26%,0.27%,753,Geeignet,17,2,4415
591112 — HCO Bulletin — Acknowledgements in Auditing  [B035-175].txt,2.26%,0.00%,486,Geeignet,11,0,2870
600210 — HCO Bulletin — British E-Meter Operation  [B141-013].txt,2.27%,0.45%,440,Geeignet,10,2,2497
610717 — HCO Bulletin — Withholds  [B028-037].txt,2.27%,0.00%,264,Geeignet,6,0,1465
"710305 — HCO Bulletin — Fantastic New HGC Line, The  [B142-010].txt",2.27%,0.31%,2559,Geeignet,58,8,13319
"601222 — HCO Bulletin — O-W, A Limited Theory  [B024-235].txt",2.27%,0.13%,793,Geeignet,18,1,4490
590622 — HCO Bulletin — How to ''Sell Scientology''  [B023-099].txt,2.27%,0.38%,264,Geeignet,6,1,1535
710102 — HCO Bulletin — Illegal Auditing  [B044-001].txt,2.27%,0.00%,132,Geeignet,3,0,834
591006 — HCO Bulletin — Responsibility and Achievement  [B023-208].txt,2.27%,0.32%,617,Geeignet,14,2,3627
650329 — HCO Bulletin — ARC Breaks  [B067-002].txt,2.27%,0.00%,1277,Geeignet,29,0,7004
761028 — HCO Bulletin — Auditing Folders - Omissions in Completeness  [B100-009].txt,2.27%,0.30%,660,Geeignet,15,2,3763
"590807 — HCO Bulletin — Handling of Communication Processes - Some Rapid Data, The  [B145-009].txt",2.27%,0.14%,1453,Geeignet,33,2,8292
710917 — HCO Bulletin — Library  [B045-052].txt,2.27%,0.32%,309,Geeignet,7,1,1905
710917 — HCO Bulletin — Library  [B011-168].txt,2.27%,0.65%,308,Geeignet,7,2,1912
580115 — HCO Bulletin — Field Office Communication  [B034-004].txt,2.27%,0.00%,264,Geeignet,6,0,1612
590227 — HCO Bulletin — How to Select Selected Persons  [B133-016].txt,2.27%,0.00%,264,Geeignet,6,0,1491
600825 — HCO Bulletin — Powerful Presession Additions  [B036-125].txt,2.27%,0.17%,573,Geeignet,13,1,3285
XXXXXX — HCO Bulletin — List L1A  [B010-022].txt,2.27%,0.00%,220,Geeignet,5,0,1436
651206 — HCO Bulletin — Low TA Cases  [B005-052].txt,2.27%,0.00%,88,Geeignet,2,0,509
600825 — HCO Bulletin — Powerful Presession Additions  [B024-178].txt,2.27%,0.17%,572,Geeignet,13,1,3286
601010 — HCO Bulletin — Current News  [B027-074].txt,2.27%,0.16%,616,Geeignet,14,1,3615
821013 — HCO Bulletin — Ethics and the CS  [B057-016].txt,2.28%,0.14%,1448,Geeignet,33,2,7939
641017 — HCO Bulletin — Clay Table Data  [B088-007].txt,2.28%,0.57%,351,Geeignet,8,2,1979
620212 — HCO Bulletin — How to Clear Withholds and Missed Withholds  [B155-001].txt,2.28%,0.23%,876,Geeignet,20,2,4747
721214R — HCO Bulletin — Generalities Won't Do  [B052-057].txt,2.28%,0.13%,788,Geeignet,18,1,4380
"601222 — HCO Bulletin — O-W, A Limited Theory  [B036-184].txt",2.28%,0.00%,834,Geeignet,19,0,4690
620721 — HCO Bulletin — Rudiments Repetitive or Fast  [B160-019].txt,2.28%,0.91%,219,Geeignet,5,2,1249
"580206 — HCO Bulletin — HGC Clear Procedure Outline of February 6, AD8  [B034-014].txt",2.28%,0.23%,439,Geeignet,10,1,2485
600526 — HCO Bulletin — Calling All Auditors about Help  [B024-143].txt,2.29%,0.69%,437,Geeignet,10,3,2370
701030 — HCO Bulletin — Clay Demo  [B043-117].txt,2.29%,0.86%,349,Geeignet,8,3,1945
780715R — HCO Bulletin Attachment — Scientology CS-1 - Definitions Sheet  [B174-008].txt,2.29%,0.08%,2622,Geeignet,60,2,16102
610519 — HCO Bulletin — Assessment Data  [B135-005].txt,2.29%,0.13%,741,Geeignet,17,1,4147
581201 — HCO Bulletin — Actions to Start an HCO  [B022-088].txt,2.29%,0.00%,131,Geeignet,3,0,772
620902 — HCO Bulletin — Account of Congress Goal  [B002-061].txt,2.29%,0.13%,742,Geeignet,17,1,4223
591005 — HCO Bulletin — Tape and Record Production Hat  [B023-209].txt,2.29%,0.38%,786,Geeignet,18,3,4604
690520 — HCO Bulletin — Dianetics  [B009-085].txt,2.29%,0.19%,1572,Geeignet,36,3,9085
710108 — HCO Bulletin — Auditing CS-1 for Dianetics and Scientology  [B142-004].txt,2.30%,0.16%,1262,Geeignet,29,2,7044
710210 — HCO Bulletin — Tech Volume and Two-Way Comm  [B011-011].txt,2.30%,0.15%,651,Geeignet,15,1,3622
620721 — HCO Bulletin — Rudiments Repetitive or Fast  [B002-050].txt,2.30%,0.00%,217,Geeignet,5,0,1252
710212 Issue 2 — HCO Bulletin — Training of HGC Auditors in Qual  [B011-262].txt,2.30%,0.46%,871,Geeignet,20,4,4977
590907 — HCO Bulletin — 'Here is a letter from Frank Turnbull to LRH which tells of good results obtained in auditing blind people...'  [B035-113].txt,2.30%,0.31%,651,Geeignet,15,2,3506
610519 — HCO Bulletin — Assessment Data  [B154-008].txt,2.30%,0.14%,740,Geeignet,17,1,4157
580408 — HCO Bulletin — Auditing the PC on Clear Procedure  [B034-029 ].txt,2.30%,0.33%,609,Geeignet,14,2,3383
"721211R — HCO Bulletin — Tech and Ethics of Integrity Processing, The  [B051-014].txt",2.30%,0.40%,1263,Geeignet,29,5,7113
600825 Issue 2 — HCO Bulletin — New Definition of Psychosis  [B036-124].txt,2.30%,0.00%,261,Geeignet,6,0,1519
710702 Issue 3 — HCO Bulletin — Word Clearing Clarification  [B011-105].txt,2.30%,0.66%,304,Geeignet,7,2,1743
680917R — HCO Bulletin — Six Zones of Action  [B053-011].txt,2.31%,0.00%,260,Geeignet,6,0,1450
5304XX — HCO Bulletin — Admiration Processing  [B017-015].txt,2.31%,0.23%,432,Geeignet,10,1,2641
700619 — HCO Bulletin — CS Q and A  [B078-007].txt,2.31%,0.09%,1126,Geeignet,26,1,5874
590609 — HCO Bulletin — Needed Material  [B023-091].txt,2.31%,0.00%,520,Geeignet,12,0,3105
600528 — HCO Bulletin — By Their Actions...  [B141-031].txt,2.31%,0.51%,390,Geeignet,9,2,2094
840327 — HCO Bulletin — Stalled Dianetic Clear - Solved  [B057-053].txt,2.31%,0.20%,996,Geeignet,23,2,5959
650806 — HCO Bulletin — Qualifications Technical Actions  [B040-070].txt,2.31%,0.07%,2946,Geeignet,68,2,15913
570610 — HCO Processing Bulletin — What to Tell New HGC Auditors to Process on Preclears  [B021-029].txt,2.31%,0.58%,173,Geeignet,4,1,913
590228 — HCO Bulletin — Analysis of Cases  [B071-023].txt,2.31%,0.16%,607,Geeignet,14,1,3767
590216 — HCO Bulletin — HGC Processes for Those Trained in Engram Running or Trained in These Processes  [B133-009].txt,2.31%,0.15%,650,Geeignet,15,1,3754
710210 — HCO Bulletin — Tech Volume and Two-Way Comm  [B044-013].txt,2.31%,0.15%,650,Geeignet,15,1,3623
710426 Issue 2 — HCO Bulletin — Solo Cognitions  [B044-051].txt,2.31%,0.00%,347,Geeignet,8,0,1941
730130 Issue 1 — HCO Bulletin — Word Clearing - The Key Repair Tool for an Org  [B051-008].txt,2.31%,0.58%,347,Geeignet,8,2,2023
590907 — HCO Bulletin — 'Here is a letter from Frank Turnbull to LRH which tells of good results obtained in auditing blind people...'  [B084-015].txt,2.31%,0.33%,1212,Geeignet,28,4,6806
791224R — HCO Bulletin — TRs Basics Resurrected  [B165-025].txt,2.32%,0.10%,2978,Geeignet,69,3,17051
701030 — HCO Bulletin — Clay Demo  [B010-130].txt,2.32%,0.29%,345,Geeignet,8,1,1930
"600318 — HCO Bulletin — Addition to HCO Bulletin of February 15, 1960  [B024-080].txt",2.32%,0.99%,302,Geeignet,7,3,1728
590605 — HCO Bulletin — Being Cause over Posts  [B023-088].txt,2.32%,0.36%,560,Geeignet,13,2,3137
610504 — HCO Bulletin — Process Levels - Necessity for Training  [B001-037].txt,2.32%,0.00%,647,Geeignet,15,0,3802
720218 Issue 1 — HCO Bulletin — False TA Addition 3  [B012-034].txt,2.32%,0.00%,691,Geeignet,16,0,3682
"711110 — HCO Bulletin — Tapes, How to Use  [B011-225].txt",2.32%,0.12%,1640,Geeignet,38,2,9748
610302 — HCO Bulletin — New Prehav Command  [B037-015].txt,2.32%,0.33%,302,Geeignet,7,1,1883
700730 — HCO Bulletin — Personnel Future Potential Key Questions  [B043-080].txt,2.32%,0.45%,1121,Geeignet,26,5,6502
600725 — HCO Bulletin — Training for Business  [B024-169].txt,2.32%,0.22%,1380,Geeignet,32,3,7549
710211 — HCO Bulletin — Successful Cramming Actions  [B011-261].txt,2.32%,0.29%,1724,Geeignet,40,5,9764
600323 — HCO Bulletin — Hat Addition - ACC Supervision Hat  [B024-081].txt,2.32%,0.99%,302,Geeignet,7,3,1728
"580408 Issue 2 — HCO Bulletin — Pair of Processes, A  [B022-036].txt",2.32%,1.16%,259,Geeignet,6,3,1511
710825 — HCO Bulletin — How to Get Results in an HGC  [B050-041].txt,2.33%,0.55%,1458,Geeignet,34,8,8252
700322 — HCO Bulletin — Exteriorization and High TA  [B076-008].txt,2.33%,0.42%,1414,Geeignet,33,6,8188
721218 — HCO Bulletin — Aspects of Integrity Processing  [B050-087].txt,2.33%,0.39%,1028,Geeignet,24,4,5620
620524 — HCO Bulletin — Q & A  [B136-002].txt,2.33%,0.44%,1590,Geeignet,37,7,8520
710306 Issue 1 — HCO Bulletin — New Uses for the Green Form  [B044-020].txt,2.33%,0.52%,387,Geeignet,9,2,2063
690522 — HCO Bulletin — Notes on CS Instructions  [B042-075].txt,2.33%,0.00%,902,Geeignet,21,0,5041
620426 — HCO Bulletin — Recommended Processes HGC  [B002-022].txt,2.33%,0.08%,1201,Geeignet,28,1,6973
811008 Issue 3 — HCO Bulletin — Word Clearing Method 2  [B056-082].txt,2.33%,0.21%,1888,Geeignet,44,4,10723
780721 — HCO Bulletin — What Is a Floating Needle  [B174-021].txt,2.33%,1.16%,86,Geeignet,2,1,509
"601125 — HCO Bulletin — New PE, The  [B027-088].txt",2.33%,0.17%,1761,Geeignet,41,3,10171
610201 — HCO Bulletin — Security Checks  [B001-007].txt,2.33%,0.27%,730,Geeignet,17,2,4135
700422 — HCO Bulletin — Clay Table Demo Checkouts  [B010-040].txt,2.33%,0.00%,300,Geeignet,7,0,1870
600803 — HCO Bulletin — Calling All Auditors  [B036-116].txt,2.33%,0.37%,814,Geeignet,19,3,4771
650414 — HCO Bulletin — Re - R6EW and R6EWS Materials  [B168-007].txt,2.33%,0.50%,600,Geeignet,14,3,3283
830807 — HCO Bulletin — Robotic TRs  [B057-022].txt,2.33%,0.58%,344,Geeignet,8,2,1871
720419 — HCO Bulletin — ''Quickie'' Defined  [B049-025].txt,2.33%,0.00%,731,Geeignet,17,0,4232
710824 Issue 2 — HCO Bulletin — Assists Addition  [B045-030].txt,2.33%,0.00%,258,Geeignet,6,0,1344
620514 — HCO Bulletin — Case Repair  [B038-021].txt,2.33%,0.22%,1842,Geeignet,43,4,10151
680829 — HCO Bulletin — Drug Data  [B041-065].txt,2.33%,0.00%,688,Geeignet,16,0,4000
751023 — HCO Bulletin — Technical Queries  [B053-031].txt,2.33%,0.39%,515,Geeignet,12,2,3069
720216 — HCO Bulletin — Talking the TA Down Modified  [B012-032].txt,2.34%,0.47%,427,Geeignet,10,2,2221
"690613 — HCO Bulletin — 3 Way S & D, The  [B009-107].txt",2.34%,0.21%,470,Geeignet,11,1,2663
651227 — HCO Bulletin — Vitamins  [B005-055].txt,2.34%,0.35%,1154,Geeignet,27,4,6570
610125 — HCO Bulletin — Handling of Rudiments  [B001-004].txt,2.34%,0.17%,598,Geeignet,14,1,3333
"700614 — HCO Bulletin — Return Program, The  [B043-050].txt",2.34%,0.19%,1068,Geeignet,25,2,5752
"700614 — HCO Bulletin — Return Program, The  [B078-004].txt",2.34%,0.19%,1069,Geeignet,25,2,5753
690125 Issue 3 — HCO Bulletin — Triple Lower Grades  [B159-004].txt,2.34%,0.15%,684,Geeignet,16,1,3662
780912 — HCO Bulletin — Dianetics Forbidden on Clears and OTs  [B060-005].txt,2.34%,0.58%,171,Geeignet,4,1,981
"790717 Issue 1RA — HCO Bulletin — Misunderstood Word Defined, The  [B061-041].txt",2.34%,0.30%,2306,Geeignet,54,7,13530
600205 — HCO Bulletin — Processing the Machine Case  [B027-011].txt,2.34%,0.67%,299,Geeignet,7,2,1725
700524 — HCO Bulletin — Auditor's Rights  [B078-001].txt,2.34%,0.14%,2826,Geeignet,66,4,15020
690816 — HCO Bulletin — Handling Illness in Scientology  [B075-076].txt,2.35%,0.55%,723,Geeignet,17,4,4052
620630 — HCO Bulletin — ARC Process  [B002-042].txt,2.35%,0.59%,170,Geeignet,4,1,1026
"800712R — HCO Bulletin — Basics of Ethics, The  [B059-013].txt",2.35%,0.16%,1826,Geeignet,43,3,10440
690914 Issue 5 — HCO Bulletin — Learning Processes - Education by Duplication and Repetition  [B009-154].txt,2.35%,0.43%,468,Geeignet,11,2,2786
571113 — HCO Bulletin — Project Clear Check Sheet  [B033-059].txt,2.35%,0.14%,722,Geeignet,17,1,4204
630705 — HCO Bulletin — Assessment Sessions - Listing Sessions - Preliminary Step R3R - The ARC Break Assessments List  [B003-037].txt,2.35%,0.00%,170,Geeignet,4,0,1086
"720922 — HCO Bulletin — Basic Principles of Translation, The  [B050-023].txt",2.35%,0.11%,935,Geeignet,22,1,5581
600124 — HCO Bulletin — OT Procedure  [B024-020].txt,2.36%,0.00%,296,Geeignet,7,0,1640
710404 — HCO Bulletin — Use of Quad Dianetics  [B142-026].txt,2.36%,0.86%,931,Geeignet,22,8,4999
641211 — HCO Bulletin — Curriculum for Level 0 - HAS  [B030-025].txt,2.36%,0.00%,551,Geeignet,13,0,3423
580529 — HCO Bulletin (Special Bulletin) — Standard Clear Procedure and an Experimental Road - Clearing by Valences  [B034-040].txt,2.36%,0.07%,1357,Geeignet,32,1,7658
770124 — HCO Bulletin — Tech Correction Roundup  [B101-004].txt,2.36%,0.10%,7854,Geeignet,185,8,44639
690422 Issue 2 — HCO Bulletin — Somatics and OTs  [B009-039].txt,2.36%,0.00%,381,Geeignet,9,0,2301
620411 — HCO Bulletin — Determining What to Run  [B038-016].txt,2.36%,0.00%,1016,Geeignet,24,0,5549
600124 — HCO Bulletin — OT Procedure  [B141-006].txt,2.36%,0.00%,296,Geeignet,7,0,1643
691005 Issue 2 — HCO Bulletin — Dianetic Triples  [B159-049].txt,2.36%,0.00%,127,Geeignet,3,0,746
"650628 — HCO Bulletin — Releases, Different Kinds  [B005-017].txt",2.36%,0.51%,592,Geeignet,14,3,3345
"671109 — HCO Bulletin — Revision of Remedy A, Remedy B, and S & Ds  [B041-035].txt",2.36%,0.87%,1143,Geeignet,27,10,6415
630318 — HCO Bulletin — R2-R3 - Important Data - Don't Force the PC  [B003-013].txt,2.36%,0.30%,2625,Geeignet,62,8,13664
600124 — HCO Bulletin — OT Procedure  [B036-017].txt,2.36%,0.00%,296,Geeignet,7,0,1642
571113 — HCO Bulletin — Project Clear Check Sheet  [B021-071].txt,2.36%,0.00%,721,Geeignet,17,0,4175
620608 — HCO Bulletin — Rudiments Checking  [B038-027].txt,2.37%,0.22%,464,Geeignet,11,1,2638
"690809 — HCO Bulletin — Case Folder Analysis, Dianetics  [B159-044].txt",2.37%,0.45%,1770,Geeignet,42,8,9534
700412 — HCO Bulletin — Solo Auditor Admin  [B043-033].txt,2.37%,0.40%,253,Geeignet,6,1,1398
"591006 — HCO Bulletin — Recommendation of Franchised Auditors, The  [B023-210].txt",2.37%,0.59%,169,Geeignet,4,1,977
830308 — HCO Bulletin — Handling PTS Situations  [B061-047].txt,2.37%,0.13%,758,Geeignet,18,1,4120
591005 — HCO Bulletin — Universe Processes  [B026-008].txt,2.37%,0.40%,253,Geeignet,6,1,1482
650404 — HCO Bulletin — ARC Breaks and Missed Withholds  [B031-005].txt,2.37%,0.18%,1138,Geeignet,27,2,6147
590414 — HCO Bulletin — Letter from Australia  [B035-036].txt,2.37%,0.47%,422,Geeignet,10,2,2486
"690729 — HCO Bulletin — ''Art'' of Case Supervision, The  [B042-126].txt",2.37%,0.00%,801,Geeignet,19,0,4477
"600811 — HCO Bulletin — Laws of Assessment, The  [B036-121].txt",2.37%,0.45%,674,Geeignet,16,3,3824
"601122 — HCO Bulletin — Look at the Basic Rundown, A  [B036-175].txt",2.37%,0.19%,1056,Geeignet,25,2,6076
631125 — HCO Bulletin — Dirty Needles  [B003-080].txt,2.38%,0.26%,378,Geeignet,9,1,2122
630824 — HCO Bulletin — Routine 3N - The Train GPMs - The Markab between Lives Implants  [B153-046].txt,2.38%,0.20%,2520,Geeignet,60,5,14238
580825 — HCO Bulletin — Administrative Stable Data  [B021-050].txt,2.38%,0.40%,252,Geeignet,6,1,1582
"600318 — HCO Bulletin — Addition to HCO Bulletin of February 15, 1960  [B024-082].txt",2.38%,0.00%,126,Geeignet,3,0,718
"681018 — HCO Bulletin — 'The correct order in which Sub-zeros, Grades and OT section are administered is...'  [B041-091].txt",2.38%,2.38%,84,Geeignet,2,2,492
641116 — HCO Bulletin — Clay Table Label Goofs  [B040-041].txt,2.38%,0.12%,842,Geeignet,20,1,4826
711125 — HCO Bulletin — Page 3 Only  [B049-067].txt,2.38%,3.57%,84,Geeignet,2,3,481
621003 — HCO Bulletin — Tiger Drilling  [B029-044].txt,2.38%,0.42%,713,Geeignet,17,3,3922
690506 Issue 1 — HCO Bulletin — Dianetics and Review  [B009-058].txt,2.38%,0.00%,168,Geeignet,4,0,1022
780709R — HCO Bulletin Attachment — Dianetic CS-1 Word List  [B082-027].txt,2.38%,0.00%,294,Geeignet,7,0,2303
610202 — HCO Bulletin — UK Cases Different  [B001-008].txt,2.38%,0.95%,421,Geeignet,10,4,2380
600122 — HCO Bulletin — For Those for Whom the Worst Is Barely Bad Enough (Advertisement)  [B036-016].txt,2.39%,0.40%,251,Geeignet,6,1,1540
580827 — HCO Bulletin — Executives of Scientology Organizations  [B021-052].txt,2.39%,0.07%,4062,Geeignet,97,3,23397
600331 — HCO Bulletin — Electrode Improvement Tip  [B024-089].txt,2.39%,1.02%,293,Geeignet,7,3,1653
610511 — HCO Bulletin — Assessment by Elimination - SOP Goals  [B037-032].txt,2.39%,0.15%,2011,Geeignet,48,3,11009
640420 — HCO Bulletin — Model Session - Levels III to VI  [B030-001].txt,2.39%,0.18%,1090,Geeignet,26,2,6143
"700716 — HCO Bulletin — Psychiatrist at Work, The  [B010-078].txt",2.39%,0.33%,922,Geeignet,22,3,5701
620801 — HCO Bulletin — Routine 3GA - Goals - Nulling by Mid Ruds  [B086-004].txt,2.39%,0.21%,1927,Geeignet,46,4,10514
750116R — HCO Bulletin — Past Life Remedies  [B082-030].txt,2.40%,0.08%,1333,Geeignet,32,1,8011
690821 — HCO Bulletin — TR 104 Note  [B042-133].txt,2.40%,0.60%,167,Geeignet,4,1,979
591026 — HCO Bulletin — List of Synonyms for ''Create'' for Use in New Creation Processes  [B035-163].txt,2.40%,4.19%,167,Geeignet,4,7,1036
720409 Issue 01 — HCO Bulletin — Clearing List Words in Scientology - Green Form  [B012-070].txt,2.40%,0.48%,416,Geeignet,10,2,2987
580301 — HCO Bulletin — Processes  [B071-011].txt,2.40%,0.00%,125,Geeignet,3,0,781
690719 — HCO Bulletin — Dianetics and Illness  [B159-039].txt,2.40%,0.00%,792,Geeignet,19,0,4639
600506 — HCO Bulletin — Fifth Dynamic Research  [B139-076].txt,2.40%,1.44%,833,Geeignet,20,12,4992
"711122 Issue 1 — HCO Bulletin — Translation Tapes, Use Of  [B011-234].txt",2.40%,0.20%,501,Geeignet,12,1,2940
610309 — HCO Bulletin — New Assessment Scale  [B001-018].txt,2.40%,0.30%,334,Geeignet,8,1,2043
590304 — HCO Bulletin — HGC Allowed Processes  [B035-025].txt,2.40%,0.00%,250,Geeignet,6,0,1570
580810 — HCO Bulletin — ACC Auxiliary Procedure  [B021-047].txt,2.40%,0.15%,667,Geeignet,16,1,3809
780323RA — HCO Bulletin — Clearing Words  [B102-002].txt,2.41%,0.00%,994,Geeignet,24,0,5752
690509 Issue 2 — HCO Bulletin — Case Supervisor Forms  [B042-058].txt,2.41%,0.34%,290,Geeignet,7,1,1681
"700929 — HCO Bulletin — HCO Bulletin of December 4, 1957 - (Re - Clear Procedure)  [B010-113].txt",2.41%,0.13%,3151,Geeignet,76,4,17840
620426 — HCO Bulletin — Recommended Processes HGC  [B063-002].txt,2.41%,0.08%,1205,Geeignet,29,1,6991
811008 Issue 3 — HCO Bulletin — Word Clearing Method 2  [B060-015].txt,2.41%,0.26%,1910,Geeignet,46,5,10874
581222 — HCO Bulletin — New HGC Process - A New Straightwire  [B022-098].txt,2.41%,0.10%,997,Geeignet,24,1,5604
"721215 — HCO Bulletin — Withholds, Missed and Partial  [B050-084].txt",2.41%,0.34%,581,Geeignet,14,2,3364
600421 — HCO Bulletin — Presession Processes  [B027-036].txt,2.41%,0.17%,1787,Geeignet,43,3,10322
701008 — HCO Bulletin — Persistent FN  [B043-105].txt,2.41%,0.77%,911,Geeignet,22,7,4806
710619 Issue 1 — HCO Bulletin — CS Rules  [B011-083].txt,2.41%,0.48%,415,Geeignet,10,2,2200
640708 — HCO Bulletin — More Justifications  [B004-020].txt,2.41%,0.60%,332,Geeignet,8,2,1907
"710523 Issue 05 — HCO Bulletin — Communication Cycle in Auditing, The  [B011-060].txt",2.41%,0.16%,622,Geeignet,15,1,3593
671009RA — HCO Bulletin — Contact Assist  [B121-001].txt,2.41%,0.00%,911,Geeignet,22,0,5153
"800712R — HCO Bulletin — Basics of Ethics, The  [B064-031].txt",2.41%,0.22%,1825,Geeignet,44,4,10443
"600309 — HCO Bulletin — Expansion of OT-3A Procedure, Step Two - HGC Allowed Processes  [B036-051].txt",2.42%,0.40%,993,Geeignet,24,4,5701
650329 — HCO Bulletin — ARC Breaks  [B168-053].txt,2.42%,0.00%,1282,Geeignet,31,0,7035
611207 — HCO Bulletin — Sec Checks Vital  [B161-028].txt,2.42%,0.12%,828,Geeignet,20,1,4767
700119 Issue 2 — HCO Bulletin — Study Data - Definition of Words Error  [B043-005].txt,2.42%,0.24%,413,Geeignet,10,1,2446
720403 Issue 2 — HCO Bulletin — Clearing Lists and R3R  [B049-003].txt,2.42%,0.40%,495,Geeignet,12,2,3212
811111 — HCO Bulletin — Audited NOTs - The Next Step After OT III  [B173-017].txt,2.42%,0.97%,207,Geeignet,5,2,1188
660403 — HCO Bulletin — Extracts from HCO Bulletin 3 April 1966  [B042-022 ].txt,2.42%,0.00%,1115,Geeignet,27,0,6508
"600407 — HCO Bulletin — New Summary of Auditing, A  [B139-064].txt",2.42%,0.13%,2227,Geeignet,54,3,12432
600330 — HCO Bulletin — Interrogation (How to read an E-Meter on a silent subject)  [B024-087].txt,2.42%,0.22%,909,Geeignet,22,2,5180
