Dateiname,Dateigröße,Datum,albert-base-v2,deberta-base,distilbert-base-uncased,roberta-base,roberta-large,Mittelwert
"591126 — HCO Bulletin — Interpretation of the American Personality-Oxford Capacity Analyses, The  [B035-180].txt",10552,17-10-24 14:51,2,7,0,0,0,1
591130 — HCO Bulletin — Allowed Processes 1st Melbourne ACC  [B023-270].txt,2288,17-10-24 14:51,0,0,1,0,0,0
591203 — HCO Bulletin — Use of the American Personality - Oxford Capacity Analyses in Determining Processes to Be Run  [B023-271].txt,4094,17-10-24 14:52,0,0,1,1,99,20
591203 — HCO Bulletin — Use of the American Personality - Oxford Capacity Analyses in Determining Processes to Be Run  [B026-019].txt,4040,17-10-24 14:52,84,0,1,0,99,36
591203 — HCO Bulletin — Use of the American Personality - Oxford Capacity Analyses in Determining Processes to Be Run  [B035-181].txt,4081,17-10-24 14:52,0,0,0,0,0,0
591203 — HCO Bulletin — Use of the American Personality - Oxford Capacity Analyses in Determining Processes to Be Run  [B139-020].txt,4057,17-10-24 14:51,1,0,1,0,0,0
591204 — HCO Bulletin — Allowed Processes 1st Melbourne ACC  [B023-272].txt,2286,17-10-24 14:51,0,0,1,0,0,0
591204 — HCO Bulletin — Allowed Processes 1st Melbourne ACC  [B035-182].txt,2270,17-10-24 14:51,0,0,1,0,0,0
591204 — HCO Bulletin — Allowed Processes 1st Melbourne ACC  [B071-041].txt,2291,17-10-24 14:52,0,0,1,0,0,0
591204 — HCO Bulletin — Allowed Processes 1st Melbourne ACC  [B113-022].txt,2284,17-10-24 14:51,0,0,1,0,0,0
591208 — HCO Bulletin — 'The following is a letter to Ron...'  [B023-273].txt,1908,17-10-24 14:52,0,0,1,0,0,0
591211 — HCO Bulletin — New Horizons in Scientology  [B023-274].txt,4578,17-10-24 14:51,4,1,1,0,90,19
591211 — HCO Bulletin — New Horizons in Scientology  [B035-183].txt,4577,17-10-24 14:51,0,0,2,0,99,20
591211 — HCO Bulletin — New Horizons in Scientology  [B113-023].txt,4578,17-10-24 14:52,0,0,1,0,96,19
591211 — HCO Bulletin — New Horizons in Scientology  [B113-024].txt,4560,17-10-24 14:52,2,1,1,0,92,19
591211 — HCO Bulletin — New Horizons in Scientology  [B133-070].txt,4616,17-10-24 14:52,0,0,2,1,99,20
591211 — HCO Bulletin — New Horizons in Scientology  [B139-021].txt,4572,17-10-24 14:52,99,1,1,0,98,39
591215 — HCO Bulletin — HAS Co-Audit  [B023-275].txt,1747,17-10-24 14:51,0,0,2,0,99,20
591215 — HCO Bulletin — HAS Co-Audit  [B026-021].txt,1708,17-10-24 14:51,0,0,2,0,99,20
591215 — HCO Bulletin — HAS Co-Audit  [B035-184].txt,1707,17-10-24 14:51,0,0,1,0,97,19
591215 — HCO Bulletin — HAS Co-Audit  [B133-071].txt,1772,17-10-24 14:51,0,0,2,0,99,20
591215 — HCO Bulletin — Urgent Change in All Co-Audit Courses  [B026-020].txt,4438,17-10-24 14:51,1,4,1,0,79,17
591215 — HCO Bulletin — Urgent Change in All Co-Audit Courses  [B035-185].txt,4652,17-10-24 14:52,1,0,1,0,0,0
591215 — HCO Bulletin — Urgent Change in All Co-Audit Courses  [B071-042].txt,4513,17-10-24 14:52,0,3,1,0,0,0
591215 — HCO Bulletin — Urgent Change in All Co-Audit Courses  [B139-022].txt,4439,17-10-24 14:52,2,26,1,0,92,24
591216 — HCO Bulletin — Important  [B023-276].txt,805,17-10-24 14:52,0,0,6,0,99,21
591216 — HCO Bulletin — Important  [B035-186].txt,796,17-10-24 14:51,0,0,3,0,58,12
591216 — HCO Bulletin — Important  [B113-025].txt,799,17-10-24 14:51,0,0,2,0,4,1
591216 — HCO Bulletin — Important  [B113-026].txt,806,17-10-24 14:51,0,0,14,0,99,22
591218 — HCO Bulletin — HAS Co-Audit  [B023-277].txt,444,17-10-24 14:52,0,0,3,4,99,21
591218 — HCO Bulletin — HAS Co-Audit  [B026-022].txt,445,17-10-24 14:52,1,0,5,33,99,27
591218 — HCO Bulletin — HAS Co-Audit  [B035-187].txt,451,17-10-24 14:52,0,0,4,1,93,19
591223 — HCO Bulletin — Responsibility  [B023-279].txt,4309,17-10-24 14:52,0,1,0,0,0,0
591223 — HCO Bulletin — Responsibility  [B026-023].txt,4310,17-10-24 14:52,0,1,1,0,98,20
591223 — HCO Bulletin — Responsibility  [B035-188].txt,4290,17-10-24 14:51,0,1,1,1,99,20
591223 — HCO Bulletin — Responsibility  [B071-043].txt,4297,17-10-24 14:52,1,74,0,0,99,34
591223 — HCO Bulletin — Responsibility  [B133-072].txt,4137,17-10-24 14:51,2,3,1,0,99,21
591223 — HCO Bulletin — Responsibility  [B139-023].txt,4330,17-10-24 14:52,0,2,1,0,99,20
591223 — HCO Bulletin — Responsibility  [B159-053].txt,4169,17-10-24 14:51,0,7,1,0,82,18
591228 — HCO Bulletin — Blow-Offs  [B113-027].txt,8648,17-10-24 14:52,10,10,1,1,99,24
591228 — HCO Bulletin — Film Show Instructors - Some Do's and Don’ts  [B023-281].txt,4077,17-10-24 14:52,1,0,1,0,0,0
591228 — HCO Bulletin — Film Show Instructors - Some Do's and Don’ts  [B035-191].txt,4127,17-10-24 14:52,0,0,1,0,1,0
591228 — HCO Bulletin — Scientology in Singapore  [B023-282].txt,1960,17-10-24 14:52,55,0,2,4,99,32
591228 — HCO Bulletin — Scientology in Singapore  [B035-189].txt,2020,17-10-24 14:51,0,0,1,3,99,20
591228 — HCO Bulletin — Scientology in Singapore  [B133-073].txt,1989,17-10-24 14:51,1,0,2,14,99,23
591228 — HCO Bulletin — Scientology in Singapore  [B139-024].txt,1960,17-10-24 14:52,61,0,3,8,99,34
591228 — HCO Bulletin — Standards of Course Graduation  [B023-280].txt,1071,17-10-24 14:51,1,0,2,0,99,20
591228 — HCO Bulletin — Standards of Course Graduation  [B035-190].txt,1238,17-10-24 14:52,0,0,3,0,39,8
591229 — HCO Bulletin — Letter from South Africa  [B023-278].txt,4161,17-10-24 14:52,0,0,1,0,9,2
591229 — HCO Bulletin — Letter from South Africa  [B023-283].txt,3278,17-10-24 14:52,0,1,1,0,1,0
591231 — HCO Bulletin — Blow-Offs  [B023-284].txt,8593,17-10-24 14:51,0,0,1,0,50,10
591231 — HCO Bulletin — Blow-Offs  [B026-024].txt,8633,17-10-24 14:51,4,0,1,0,81,17
591231 — HCO Bulletin — Blow-Offs  [B035-192].txt,8624,17-10-24 14:51,1,0,1,0,86,17
591231 — HCO Bulletin — Blow-Offs  [B076-041].txt,8714,17-10-24 14:51,0,0,1,0,12,2
591231 — HCO Bulletin — Blow-Offs  [B113-028].txt,8622,17-10-24 14:51,2,0,1,0,97,20
591231 — HCO Bulletin — Blow-Offs  [B113-029].txt,8609,17-10-24 14:52,0,0,1,0,74,15
591231 — HCO Bulletin — Blow-Offs  [B139-025].txt,8645,17-10-24 14:52,8,0,1,0,95,20
591231 — HCO Bulletin — Blow-Offs  [B159-054].txt,4371,17-10-24 14:52,3,2,1,0,93,19
591231 — HCO Bulletin — Requirements for HAS Certificates  [B023-285].txt,877,17-10-24 14:51,0,0,2,0,1,0
600102 — HCO Bulletin — HAS Certificates  [B024-001].txt,882,17-10-24 14:51,0,0,7,0,99,21
600102 — HCO Bulletin — HAS Certificates  [B027-001].txt,835,17-10-24 14:52,0,0,3,0,82,17
600102 — HCO Bulletin — HAS Certificates  [B036-001].txt,837,17-10-24 14:52,0,0,3,0,99,20
"600103 — HCO Bulletin — Third Dynamic for Scientology, A  [B024-002].txt",1731,17-10-24 14:51,0,0,1,7,99,21
"600103 — HCO Bulletin — Third Dynamic for Scientology, A  [B027-002].txt",1773,17-10-24 14:51,0,0,3,1,99,20
"600103 — HCO Bulletin — Third Dynamic for Scientology, A  [B036-002].txt",1767,17-10-24 14:52,1,0,2,3,99,21
"600105 — HCO Bulletin — Idea for Promotion, An  [B024-003].txt",841,17-10-24 14:51,0,0,2,1,99,20
"600105 — HCO Bulletin — Idea for Promotion, An  [B036-003].txt",954,17-10-24 14:52,0,0,1,0,99,20
"600107 — HCO Bulletin — Unmoving Case, The  [B024-004].txt",4739,17-10-24 14:52,2,0,1,0,88,18
"600107 — HCO Bulletin — Unmoving Case, The  [B027-003].txt",4648,17-10-24 14:51,0,0,1,0,2,0
"600107 — HCO Bulletin — Unmoving Case, The  [B036-004].txt",4737,17-10-24 14:52,0,0,2,0,99,20
"600107 — HCO Bulletin — Unmoving Case, The  [B134-001].txt",4749,17-10-24 14:52,0,0,2,0,99,20
"600107 — HCO Bulletin — Unmoving Case, The  [B139-027].txt",4738,17-10-24 14:52,0,0,1,0,37,7
"600107 — HCO Bulletin — Unmoving Case, The  [B141-001].txt",4680,17-10-24 14:52,1,99,1,0,98,39
600108 — HCO Bulletin — OT Procedure for HCS-BScn Courses  [B024-006].txt,6821,17-10-24 14:52,0,0,1,0,0,0
600108 — HCO Bulletin — OT Procedure for HCS-BScn Courses  [B036-005].txt,6700,17-10-24 14:52,0,0,1,0,0,0
600108 — HCO Bulletin — OT Procedure for HCS-BScn Courses  [B114-001].txt,6681,17-10-24 14:52,0,0,1,0,0,0
600108 — HCO Bulletin — OT Procedure for HCS-BScn Courses  [B114-002].txt,6702,17-10-24 14:52,0,0,1,0,0,0
600108 — HCO Bulletin — OT Procedure for HCS-BScn Courses  [B134-002].txt,6686,17-10-24 14:51,0,0,1,0,0,0
600108 — HCO Bulletin — OT Procedure for HCS-BScn Courses  [B141-002].txt,6839,17-10-24 14:51,0,0,1,0,0,0
600112 — HCO Bulletin — Addition to Code of a Scientologist  [B024-008].txt,1417,17-10-24 14:51,0,0,16,26,99,28
600112 — HCO Bulletin — Addition to Code of a Scientologist  [B027-005].txt,1358,17-10-24 14:51,0,0,8,33,99,28
600112 — HCO Bulletin — Addition to Code of a Scientologist  [B036-007].txt,947,17-10-24 14:52,0,0,1,0,16,3
600112 — HCO Bulletin — Addition to Code of a Scientologist  [B139-029].txt,1358,17-10-24 14:52,0,0,9,67,99,35
"600112 — HCO Bulletin — Scientology Motto, A  [B024-007].txt",1417,17-10-24 14:52,0,0,16,26,99,28
"600112 — HCO Bulletin — Scientology Motto, A  [B027-004].txt",1358,17-10-24 14:52,0,0,8,33,99,28
"600112 — HCO Bulletin — Scientology Motto, A  [B036-006].txt",542,17-10-24 14:52,0,0,9,13,99,24
"600112 — HCO Bulletin — Scientology Motto, A  [B139-028].txt",1358,17-10-24 14:51,0,0,9,67,99,35
"600114 — HCO Bulletin — Black Case, The  [B024-009].txt",4560,17-10-24 14:51,0,0,1,0,1,0
"600114 — HCO Bulletin — Black Case, The  [B027-006].txt",4467,17-10-24 14:52,0,0,1,0,66,13
"600114 — HCO Bulletin — Black Case, The  [B036-008].txt",4469,17-10-24 14:52,0,0,1,0,0,0
"600114 — HCO Bulletin — Black Case, The  [B139-030].txt",4487,17-10-24 14:52,0,0,1,0,0,0
"600114 — HCO Bulletin — Black Case, The  [B141-003].txt",4602,17-10-24 14:51,1,11,1,0,97,22
600115 — HCO Bulletin — PAB Mailings  [B024-010].txt,676,17-10-24 14:51,0,0,4,7,99,22
600115 — HCO Bulletin — PAB Mailings  [B036-009].txt,563,17-10-24 14:51,0,0,2,0,0,0
600119 — HCO Bulletin — Casualties  [B036-012].txt,3219,17-10-24 14:51,0,0,1,0,0,0
600119 — HCO Bulletin — Causalities  [B024-012].txt,3140,17-10-24 14:52,0,0,1,0,0,0
600119 — HCO Bulletin — Cause and Effect  [B024-013].txt,815,17-10-24 14:52,0,0,4,7,99,22
600119 — HCO Bulletin — Cause and Effect  [B036-010].txt,761,17-10-24 14:52,0,0,2,0,14,3
600119 — HCO Bulletin — Cause and Effect  [B139-032].txt,813,17-10-24 14:52,0,0,4,17,99,24
600119 — HCO Bulletin — Project Report Sheets  [B024-011].txt,287,17-10-24 14:51,0,0,2,0,0,0
600119 — HCO Bulletin — Project Report Sheets  [B036-011].txt,302,17-10-24 14:51,0,0,1,0,0,0
600119 — HCO Bulletin — Tapes for Sale  [B024-014].txt,3954,17-10-24 14:52,0,0,5,0,99,20
600119 — HCO Bulletin — Tapes for Sale  [B027-007].txt,482,17-10-24 14:52,1,0,21,19,99,28
600119 — HCO Bulletin — Tapes for Sale  [B065-001].txt,3935,17-10-24 14:52,0,0,5,0,99,20
600119 — HCO Bulletin — Tapes for Sale  [B134-003].txt,3952,17-10-24 14:51,0,0,1,0,99,20
600119 — HCO Bulletin — Tapes for Sale  [B139-031].txt,482,17-10-24 14:51,1,0,18,37,99,31
600121 — HCO Bulletin — Justification  [B024-015].txt,7110,17-10-24 14:52,0,0,5,0,99,20
600121 — HCO Bulletin — Justification  [B024-016].txt,6625,17-10-24 14:52,99,99,1,0,2,40
600121 — HCO Bulletin — Justification  [B027-008].txt,6609,17-10-24 14:52,99,96,1,7,98,60
600121 — HCO Bulletin — Justification  [B036-014].txt,6651,17-10-24 14:52,9,1,1,2,99,22
600121 — HCO Bulletin — Justification  [B065-002].txt,7084,17-10-24 14:51,0,0,5,0,99,20
600121 — HCO Bulletin — Justification  [B114-003].txt,6787,17-10-24 14:52,0,1,1,16,99,23
600121 — HCO Bulletin — Justification  [B134-004].txt,7100,17-10-24 14:51,0,0,1,0,99,20
600121 — HCO Bulletin — Justification  [B139-033].txt,6632,17-10-24 14:52,99,88,1,0,99,57
600121 — HCO Bulletin — Justification  [B141-004].txt,6641,17-10-24 14:52,12,99,1,32,99,48
600121 — HCO Bulletin — Justification  [B144-009].txt,6669,17-10-24 14:52,80,86,1,0,86,50
600121 — HCO Bulletin — Responsibility  [B024-017].txt,603,17-10-24 14:51,0,0,3,29,99,26
600121 — HCO Bulletin — Responsibility  [B036-013].txt,724,17-10-24 14:51,1,0,2,0,77,16
600121 — HCO Bulletin — Responsibility  [B141-005].txt,730,17-10-24 14:52,0,0,2,0,28,6
600121 — HCO Bulletin — Success in Australia  [B024-018].txt,648,17-10-24 14:52,1,0,4,3,99,21
600121 — HCO Bulletin — Success in Australia  [B036-015].txt,663,17-10-24 14:51,0,0,3,0,0,0
600122 — HCO Bulletin — For Those for Whom the Worst Is Barely Bad Enough (Advertisement)  [B024-019].txt,1540,17-10-24 14:51,0,0,2,91,100,38
600122 — HCO Bulletin — For Those for Whom the Worst Is Barely Bad Enough (Advertisement)  [B036-016].txt,1540,17-10-24 14:51,0,0,2,96,100,39
600124 — HCO Bulletin — OT Procedure  [B024-020].txt,1640,17-10-24 14:51,1,0,1,0,99,20
600124 — HCO Bulletin — OT Procedure  [B036-017].txt,1642,17-10-24 14:52,1,0,2,0,99,20
600124 — HCO Bulletin — OT Procedure  [B141-006].txt,1643,17-10-24 14:52,2,0,1,0,99,20
600125 — HCO Bulletin — OT-3 Procedure - HGC Allowed Processes  [B024-021].txt,5507,17-10-24 14:52,0,0,1,0,0,0
600125 — HCO Bulletin — OT-3 Procedure - HGC Allowed Processes  [B036-018].txt,5510,17-10-24 14:51,0,0,1,0,0,0
600125 — HCO Bulletin — OT-3 Procedure - HGC Allowed Processes  [B036-047].txt,5443,17-10-24 14:51,0,0,0,0,0,0
600125 — HCO Bulletin — OT-3 Procedure - HGC Allowed Processes  [B141-007].txt,5487,17-10-24 14:51,0,0,1,0,0,0
600127 — HCO Bulletin — Dissemination Training Drill  [B024-023].txt,2601,17-10-24 14:52,0,0,1,1,30,6
600127 — HCO Bulletin — Dissemination Training Drill  [B036-020].txt,2636,17-10-24 14:52,0,0,1,0,2,0
600127 — HCO Bulletin — Successes with Latest Data  [B024-022].txt,1942,17-10-24 14:51,0,0,1,0,0,0
600127 — HCO Bulletin — Successes with Latest Data  [B036-019].txt,4222,17-10-24 14:52,0,0,1,0,0,0
600128 — HCO Bulletin — 'The following is a cable message received today from LRH to HCS Course Chief Instructor Dick Halpern...'  [B036-022].txt,615,17-10-24 14:51,0,0,2,63,98,32
"600128 — HCO Bulletin — Key to All Cases - Responsibility, The  [B024-024].txt",9365,17-10-24 14:51,0,0,1,0,0,0
"600128 — HCO Bulletin — Key to All Cases - Responsibility, The  [B027-009].txt",9259,17-10-24 14:51,0,0,1,0,0,0
"600128 — HCO Bulletin — Key to All Cases - Responsibility, The  [B036-021].txt",6539,17-10-24 14:51,0,0,1,0,26,5
"600128 — HCO Bulletin — Key to All Cases - Responsibility, The  [B139-034].txt",9243,17-10-24 14:52,2,0,1,0,0,0
"600128 — HCO Bulletin — Key to All Cases - Responsibility, The  [B141-008].txt",9404,17-10-24 14:51,0,30,1,0,5,7
600129 — HCO Bulletin — Congresses  [B024-025].txt,584,17-10-24 14:52,4,0,18,2,99,24
600129 — HCO Bulletin — Congresses  [B036-023].txt,604,17-10-24 14:51,1,0,5,32,99,27
600129 — HCO Bulletin — Congresses  [B139-035].txt,583,17-10-24 14:52,5,0,17,2,99,24
"600129 — Special HCO Bulletin — Addition to HCO Bulletin of January 25, 1960  [B024-026].txt",609,17-10-24 14:51,0,0,27,7,98,26
"600202 — HCO Bulletin — Co-Audit Team, The  [B024-027].txt",5560,17-10-24 14:52,0,0,1,0,97,19
"600202 — HCO Bulletin — Co-Audit Team, The  [B036-024].txt",5592,17-10-24 14:51,0,0,1,0,11,2
"600202 — HCO Bulletin — Co-Audit Team, The  [B065-003].txt",5646,17-10-24 14:52,0,0,1,0,0,0
"600202 — HCO Bulletin — Co-Audit Team, The  [B139-036].txt",5564,17-10-24 14:52,0,0,1,0,52,10
600203 — HCO Bulletin — Change of Address for HASI Durban  [B024-028].txt,440,17-10-24 14:51,1,0,5,96,99,40
600203 — HCO Bulletin — Security Check  [B024-029].txt,1087,17-10-24 14:51,1,0,2,0,97,20
600203 — HCO Bulletin — Security Check  [B036-025].txt,1083,17-10-24 14:51,1,0,3,0,67,14
600204 — HCO Bulletin — Overt Manifestations on a Low-Toned Case  [B024-031].txt,2370,17-10-24 14:51,0,0,1,0,96,19
600204 — HCO Bulletin — Overt Manifestations on a Low-Toned Case  [B036-026].txt,2486,17-10-24 14:52,0,0,1,0,0,0
600204 — HCO Bulletin — Subject Matter for Infraction Sheets - All Processional Level Scientology Courses  [B024-032].txt,888,17-10-24 14:52,0,0,38,0,96,26
600204 — HCO Bulletin — Subject Matter for Infraction Sheets - All Processional Level Scientology Courses  [B036-028].txt,978,17-10-24 14:51,0,0,3,0,95,19
600204 — HCO Bulletin — Theory of Responsibility Processing  [B024-030].txt,7630,17-10-24 14:52,1,3,1,0,91,19
600204 — HCO Bulletin — Theory of Responsibility Processing  [B027-010].txt,7633,17-10-24 14:52,1,5,1,0,4,2
600204 — HCO Bulletin — Theory of Responsibility Processing  [B036-027].txt,7639,17-10-24 14:51,1,0,1,0,7,1
600204 — HCO Bulletin — Theory of Responsibility Processing  [B139-037].txt,7614,17-10-24 14:52,43,99,1,1,85,45
600205 — HCO Bulletin — Processing the Machine Case  [B024-033].txt,1799,17-10-24 14:52,0,0,2,0,96,19
600205 — HCO Bulletin — Processing the Machine Case  [B027-011].txt,1725,17-10-24 14:52,0,0,1,0,87,17
600205 — HCO Bulletin — Processing the Machine Case  [B036-029].txt,1779,17-10-24 14:52,0,0,1,0,10,2
600206 — HCO Bulletin — Effect Scale  [B024-034].txt,8009,17-10-24 14:52,0,0,1,0,2,0
600206 — HCO Bulletin — Effect Scale  [B036-030].txt,7908,17-10-24 14:51,0,0,1,1,5,1
600206 — HCO Bulletin — Effect Scale  [B141-009].txt,7916,17-10-24 14:52,0,0,0,0,0,0
600206 — HCO Bulletin — Effect Scale  [B141-010].txt,7882,17-10-24 14:51,0,0,1,1,4,1
"600208 — HCO Bulletin — Honest People Have Rights, Too  [B024-036].txt",4774,17-10-24 14:51,5,0,1,0,0,1
"600208 — HCO Bulletin — Honest People Have Rights, Too  [B036-031].txt",4804,17-10-24 14:51,99,1,1,1,1,20
"600208 — HCO Bulletin — Honest People Have Rights, Too  [B114-004].txt",4989,17-10-24 14:52,1,0,1,0,2,0
"600208 — HCO Bulletin — Honest People Have Rights, Too  [B141-011].txt",4776,17-10-24 14:51,99,9,1,11,1,24
"600208 — HCO Bulletin — Honest People Have Rights, Too  [B141-012].txt",4816,17-10-24 14:51,99,0,1,5,1,21
"600208 — HCO Bulletin — Reputation of Saint Hill, The  [B024-037].txt",2616,17-10-24 14:52,0,0,0,0,0,0
600208 — HCO Bulletin — Security Checks  [B024-035].txt,661,17-10-24 14:52,0,0,8,0,56,12
600209 — HCO Bulletin — Cancellation of Certificates  [B024-039].txt,683,17-10-24 14:51,0,0,7,0,95,20
600209 — HCO Bulletin — Research Advances  [B024-038].txt,1425,17-10-24 14:51,2,0,5,0,99,21
600210 Issue 2 — HCO Bulletin — Restoration of Certificates  [B024-040].txt,542,17-10-24 14:51,1,0,10,4,99,22
600210 Issue 2 — HCO Bulletin — Restoration of Certificates  [B027-012].txt,552,17-10-24 14:51,3,0,35,26,99,32
600210 Issue 2 — HCO Bulletin — Restoration of Certificates  [B036-033].txt,540,17-10-24 14:52,2,0,15,33,99,29
600210 Issue 2 — HCO Bulletin — Restoration of Certificates  [B139-039].txt,555,17-10-24 14:51,3,0,24,7,99,26
600210 — HCO Bulletin — British E-Meter Operation  [B024-043].txt,2480,17-10-24 14:51,0,0,1,0,0,0
600210 — HCO Bulletin — British E-Meter Operation  [B141-013].txt,2497,17-10-24 14:51,0,0,1,0,0,0
600210 — HCO Bulletin — Definition - The State of Release  [B024-041].txt,388,17-10-24 14:52,2,0,21,96,99,43
600210 — HCO Bulletin — Definition - The State of Release  [B027-013].txt,398,17-10-24 14:52,2,0,42,65,99,41
600210 — HCO Bulletin — Definition - The State of Release  [B036-034].txt,401,17-10-24 14:52,0,0,1,1,51,10
600210 — HCO Bulletin — Definition - The State of Release  [B139-038].txt,401,17-10-24 14:52,0,0,6,98,99,40
600210 — HCO Bulletin — Putting Hats On  [B024-042].txt,1893,17-10-24 14:52,0,0,2,0,8,2
600210 — HCO Bulletin — Putting Hats On  [B036-032].txt,1953,17-10-24 14:52,0,0,2,0,0,0
600210-600309 — HCO Bulletin Attachment — Diagram of E-Meters  [B141-013].txt,223,17-10-24 14:51,0,0,1,0,0,0
600211 — HCO Bulletin — Create and Confront  [B024-044].txt,5743,17-10-24 14:51,0,0,1,0,2,0
600211 — HCO Bulletin — Create and Confront  [B027-014].txt,5705,17-10-24 14:51,0,0,1,0,96,19
600211 — HCO Bulletin — Create and Confront  [B036-035].txt,5749,17-10-24 14:52,0,5,0,0,0,1
600211 — HCO Bulletin — Create and Confront  [B139-040].txt,5701,17-10-24 14:51,0,0,1,0,98,19
600211 — HCO Bulletin — Create and Confront  [B168-025].txt,5707,17-10-24 14:51,0,0,1,0,95,19
"600212 — HCO Bulletin — Correction to HCO Bulletin of January 27, 1960 - Dissemination Training Drill  [B024-045].txt",637,17-10-24 14:52,0,0,11,4,81,19
"600212 — HCO Bulletin — Correction to HCO Bulletin of January 27, 1960 - Dissemination Training Drill  [B036-036].txt",636,17-10-24 14:51,0,0,26,3,95,24
600215 — HCO Bulletin — Some Points to Remember  [B024-046].txt,3486,17-10-24 14:51,0,0,1,0,0,0
600215 — HCO Bulletin — Some Points to Remember  [B036-037].txt,3652,17-10-24 14:52,0,0,1,0,0,0
600218 — HCO Bulletin — How to Run O-W and Responsibility  [B024-047].txt,8494,17-10-24 14:51,0,0,1,0,0,0
600218 — HCO Bulletin — How to Run O-W and Responsibility  [B027-015].txt,8311,17-10-24 14:51,0,2,1,0,81,16
600218 — HCO Bulletin — How to Run O-W and Responsibility  [B036-038].txt,8313,17-10-24 14:52,0,0,1,0,0,0
600218 — HCO Bulletin — How to Run O-W and Responsibility  [B065-004].txt,8300,17-10-24 14:52,90,3,1,0,97,38
600218 — HCO Bulletin — How to Run O-W and Responsibility  [B114-005].txt,8497,17-10-24 14:52,24,46,1,0,99,34
600218 — HCO Bulletin — How to Run O-W and Responsibility  [B139-041].txt,8305,17-10-24 14:51,0,1,1,0,66,13
600219 — HCO Bulletin — Letter from a PC  [B024-052].txt,1526,17-10-24 14:52,1,0,6,89,99,39
600219 — HCO Bulletin — Letter from a PC  [B024-053].txt,894,17-10-24 14:51,0,0,3,1,99,20
600219 — HCO Bulletin — Quick on the Uptake  [B024-048].txt,690,17-10-24 14:51,1,0,4,29,99,26
600219 — HCO Bulletin — Quick on the Uptake  [B139-042].txt,708,17-10-24 14:51,1,0,5,13,99,23
600219 — HCO Bulletin — Secret of Success  [B024-051].txt,1526,17-10-24 14:51,1,0,6,89,99,39
600219 — HCO Bulletin — Student Auditors Control of PCs  [B024-049].txt,1304,17-10-24 14:51,0,0,1,0,45,9
600219 — HCO Bulletin — Vehicles  [B024-050].txt,2230,17-10-24 14:51,5,0,1,0,18,4
600219 — HCO Bulletin — Vehicles  [B036-039].txt,2228,17-10-24 14:51,2,0,2,1,99,20
600222 — HCO Bulletin — 'The following listed auditors...'  [B024-054].txt,765,17-10-24 14:52,0,0,2,1,97,20
600223 — HCO Bulletin — HPA Course Change Proposal to London  [B024-055].txt,2115,17-10-24 14:51,0,0,1,0,0,0
600223 — HCO Bulletin — HPA Course Change Proposal to London  [B036-040].txt,2112,17-10-24 14:52,0,0,1,0,0,0
600223 — HCO Bulletin — Letter of Appreciation  [B027-016].txt,967,17-10-24 14:52,4,0,7,16,99,25
600223 — HCO Bulletin — Letter of Appreciation  [B139-043].txt,967,17-10-24 14:52,1,0,6,1,99,21
600224 — HCO Bulletin — Open Evening in South Africa  [B024-056].txt,1777,17-10-24 14:52,0,0,2,0,11,2
600224 — HCO Bulletin — Open Evening in South Africa  [B036-041].txt,1790,17-10-24 14:52,0,0,2,0,2,0
"600225 — HCO Bulletin — Model Session, The  [B024-057].txt",14132,17-10-24 14:52,0,0,1,0,1,0
"600225 — HCO Bulletin — Model Session, The  [B027-017].txt",13930,17-10-24 14:52,0,0,1,0,2,0
"600225 — HCO Bulletin — Model Session, The  [B036-042].txt",13862,17-10-24 14:52,0,0,0,0,3,0
"600225 — HCO Bulletin — Model Session, The  [B139-045].txt",13945,17-10-24 14:52,0,0,1,0,17,3
600225 — HCO Bulletin — Scientology Can Have a Group Win  [B024-058].txt,4769,17-10-24 14:52,4,0,1,4,86,19
600225 — HCO Bulletin — Scientology Can Have a Group Win  [B027-018].txt,4702,17-10-24 14:52,99,4,2,73,99,55
600225 — HCO Bulletin — Scientology Can Have a Group Win  [B036-043].txt,4689,17-10-24 14:51,0,5,1,62,99,33
600225 — HCO Bulletin — Scientology Can Have a Group Win  [B139-044].txt,4712,17-10-24 14:51,99,5,2,83,99,57
600226 — HCO Bulletin — HPA Course Change  [B024-059].txt,525,17-10-24 14:51,0,0,4,1,16,4
600226 — HCO Bulletin — HPA Course Change  [B036-044].txt,526,17-10-24 14:51,0,0,9,0,55,12
"600227 — HCO Bulletin — Four Universes, The  [B024-060].txt",1063,17-10-24 14:52,2,0,6,96,100,40
"600227 — HCO Bulletin — Four Universes, The  [B036-045].txt",1076,17-10-24 14:51,4,0,9,99,100,42
"600227 — HCO Bulletin — Four Universes, The  [B065-005].txt",1067,17-10-24 14:51,3,0,7,98,99,41
"600227 — HCO Bulletin — Four Universes, The  [B139-046].txt",1066,17-10-24 14:51,2,0,9,98,100,41
600228 — HCO Bulletin — CCH Training  [B027-019].txt,1123,17-10-24 14:51,0,0,6,0,60,13
600228 — HCO Bulletin — CCH Training  [B139-047].txt,1130,17-10-24 14:52,0,0,3,0,18,4
"600228 — HCO Bulletin — Four Universes, The  [B024-061].txt",1172,17-10-24 14:52,0,0,2,91,99,38
"600228 — HCO Bulletin — Four Universes, The  [B141-014].txt",1153,17-10-24 14:52,0,0,2,69,99,34
600229 — HCO Bulletin — Student Overts  [B024-062].txt,1361,17-10-24 14:51,0,0,2,0,65,13
600301 — HCO Bulletin — HPA Course Change Proposal to London  [B024-063].txt,2139,17-10-24 14:51,0,0,1,0,0,0
